(carA OBJECT)
(carB OBJECT)
(carO OBJECT)
(carX OBJECT)
(front-carA OBJECT)
(front-carB OBJECT)
(front-carO OBJECT)
(front-carX OBJECT)
(back-carA OBJECT)
(back-carB OBJECT)
(back-carO OBJECT)
(back-carX OBJECT)
(loc-00 LOCATION)
(loc-01 LOCATION)
(loc-02 LOCATION)
(loc-03 LOCATION)
(loc-04 LOCATION)
(loc-05 LOCATION)
(loc-10 LOCATION)
(loc-11 LOCATION)
(loc-12 LOCATION)
(loc-13 LOCATION)
(loc-14 LOCATION)
(loc-15 LOCATION)
(loc-20 LOCATION)
(loc-21 LOCATION)
(loc-22 LOCATION)
(loc-23 LOCATION)
(loc-24 LOCATION)
(loc-25 LOCATION)
(loc-30 LOCATION)
(loc-31 LOCATION)
(loc-32 LOCATION)
(loc-33 LOCATION)
(loc-34 LOCATION)
(loc-35 LOCATION)
(loc-40 LOCATION)
(loc-41 LOCATION)
(loc-42 LOCATION)
(loc-43 LOCATION)
(loc-44 LOCATION)
(loc-45 LOCATION)
(loc-50 LOCATION)
(loc-51 LOCATION)
(loc-52 LOCATION)
(loc-53 LOCATION)
(loc-54 LOCATION)
(loc-55 LOCATION)
(east DIRECTION)
(west DIRECTION)
(north DIRECTION)
(south DIRECTION)
(adjacent-east loc-01 loc-00)
(adjacent-south loc-10 loc-00)
(adjacent-east loc-02 loc-01)
(adjacent-south loc-11 loc-01)
(adjacent-west loc-00 loc-01)
(adjacent-east loc-03 loc-02)
(adjacent-south loc-12 loc-02)
(adjacent-west loc-01 loc-02)
(adjacent-east loc-04 loc-03)
(adjacent-south loc-13 loc-03)
(adjacent-west loc-02 loc-03)
(adjacent-east loc-05 loc-04)
(adjacent-south loc-14 loc-04)
(adjacent-west loc-03 loc-04)
(adjacent-south loc-15 loc-05)
(adjacent-west loc-04 loc-05)
(adjacent-east loc-11 loc-10)
(adjacent-south loc-20 loc-10)
(adjacent-north loc-00 loc-10)
(adjacent-east loc-12 loc-11)
(adjacent-south loc-21 loc-11)
(adjacent-west loc-10 loc-11)
(adjacent-north loc-01 loc11)
(adjacent-east loc-13 loc-12)
(adjacent-south loc-22 loc-12)
(adjacent-west loc-11 loc-12)
(adjacent-north loc-02 loc-12)
(adjacent-east loc-14 loc-13)
(adjacent-south loc-23 loc-13)
(adjacent-west loc-12 loc-13)
(adjacent-north loc-03 loc-13)
(adjacent-east loc-15 loc-14)
(adjacent-south loc-24 loc-14)
(adjacent-west loc-13 loc-14)
(adjacent-north loc-04 loc-14)
