Started board 1
Board: 1  1.735 seconds
Nodes Visited: 3577
Move I1 East 2 spaces
     H1 East 1 spaces
     C1 South 2 spaces
     A1 South 2 spaces
     O1 West 3 spaces
     R1 North 2 spaces
     H1 East 1 spaces
     E1 East 1 spaces
     B1 South 3 spaces
     E1 West 1 spaces
     R1 South 1 spaces
     O1 East 3 spaces
     A1 North 2 spaces
     X0 East 3 spaces
     A1 South 1 spaces
     O1 West 1 spaces
     R1 North 1 spaces
     E1 East 1 spaces
     D1 East 2 spaces
     G1 North 4 spaces
     F1 North 4 spaces
     D1 West 2 spaces
     E1 West 2 spaces
     R1 South 1 spaces
     O1 East 1 spaces
     A1 North 1 spaces
     X0 West 3 spaces
     A1 South 1 spaces
     O1 West 1 spaces
     R1 North 1 spaces
     E1 East 2 spaces
     B1 North 3 spaces
     E1 West 1 spaces
     R1 South 1 spaces
     O1 East 1 spaces
     A1 North 1 spaces
     C1 North 2 spaces
     I1 West 4 spaces
     H1 West 4 spaces
     C1 South 2 spaces
     A1 South 2 spaces
     O1 West 1 spaces
     R1 North 1 spaces
     E1 East 1 spaces
     B1 South 3 spaces
     E1 West 1 spaces
     R1 South 3 spaces
     O1 East 1 spaces
     A1 North 2 spaces
     X0 East 5 spaces

Started board 2
Board: 2  1.486 seconds
Nodes Visited: 3048
Move I1 East 1 spaces
     E1 South 1 spaces
     P1 North 1 spaces
     Q1 East 3 spaces
     F1 North 1 spaces
     H1 East 1 spaces
     C1 South 2 spaces
     O1 South 3 spaces
     A1 West 1 spaces
     D1 North 1 spaces
     X0 West 3 spaces
     D1 South 1 spaces
     B1 South 1 spaces
     A1 East 3 spaces
     D1 North 1 spaces
     X0 East 2 spaces
     C1 North 3 spaces
     X0 West 1 spaces
     O1 North 3 spaces
     H1 West 1 spaces
     F1 South 1 spaces
     Q1 West 3 spaces
     P1 South 1 spaces
     A1 East 1 spaces
     E1 North 4 spaces
     I1 West 1 spaces
     G1 West 1 spaces
     Q1 East 2 spaces
     X0 East 1 spaces
     C1 South 3 spaces
     X0 West 1 spaces
     E1 South 1 spaces
     A1 West 1 spaces
     P1 North 1 spaces
     Q1 East 1 spaces
     F1 North 1 spaces
     H1 East 1 spaces
     O1 South 3 spaces
     X0 West 1 spaces
     D1 South 1 spaces
     A1 West 3 spaces
     E1 North 1 spaces
     D1 North 1 spaces
     X0 East 2 spaces
     B1 North 1 spaces
     O1 North 2 spaces
     H1 West 1 spaces
     F1 South 1 spaces
     Q1 West 1 spaces
     P1 South 3 spaces
     X0 East 3 spaces

Started board 3
Board: 3  2.733 seconds
Nodes Visited: 4063
Move B1 West 1 spaces
     Q1 North 3 spaces
     F1 East 1 spaces
     G1 North 3 spaces
     P1 East 1 spaces
     C1 South 1 spaces
     E1 West 1 spaces
     F1 West 2 spaces
     H1 North 3 spaces
     P1 East 2 spaces
     D1 East 3 spaces
     F1 East 2 spaces
     G1 South 2 spaces
     O1 South 3 spaces
     X0 East 2 spaces
     A1 South 1 spaces
     B1 West 3 spaces
     H1 North 1 spaces
     X0 East 1 spaces
     O1 North 3 spaces
     E1 East 1 spaces
     C1 North 3 spaces
     E1 West 1 spaces
     O1 South 3 spaces
     B1 East 2 spaces
     C1 North 1 spaces
     A1 North 1 spaces
     X0 West 3 spaces
     G1 North 2 spaces
     O1 North 2 spaces
     D1 West 4 spaces
     G1 South 2 spaces
     O1 South 2 spaces
     X0 East 3 spaces
     O1 North 2 spaces
     P1 West 3 spaces
     G1 South 1 spaces
     F1 West 1 spaces
     Q1 South 3 spaces
     X0 East 2 spaces

Started board 4
Board: 4  10.892 seconds
Nodes Visited: 7755
Move X0 West 1 spaces
     P1 South 1 spaces
     A1 South 2 spaces
     O1 East 3 spaces
     B1 North 1 spaces
     X0 West 1 spaces
     E1 North 1 spaces
     I1 West 2 spaces
     P1 South 1 spaces
     C1 East 3 spaces
     E1 North 2 spaces
     D1 East 1 spaces
     X0 East 1 spaces
     B1 South 4 spaces
     D1 West 1 spaces
     X0 West 1 spaces
     E1 South 2 spaces
     C1 West 4 spaces
     E1 North 1 spaces
     A1 North 1 spaces
     O1 West 3 spaces
     P1 North 2 spaces
     I1 East 2 spaces
     D1 East 4 spaces
     F1 North 1 spaces
     B1 North 1 spaces
     G1 West 2 spaces
     E1 South 3 spaces
     A1 South 3 spaces
     D1 West 2 spaces
     X0 East 2 spaces
     C1 East 2 spaces
     P1 South 1 spaces
     O1 East 3 spaces
     F1 North 3 spaces
     B1 North 3 spaces
     D1 West 2 spaces
     X0 West 2 spaces
     E1 North 2 spaces
     A1 North 2 spaces
     H1 West 2 spaces
     I1 West 4 spaces
     E1 South 1 spaces
     P1 South 2 spaces
     A1 South 1 spaces
     X0 East 5 spaces

Started board 5
Board: 5  56.45 seconds
Nodes Visited: 14605
Move X0 West 1 spaces
     Q1 South 1 spaces
     P1 South 1 spaces
     A1 South 2 spaces
     O1 East 3 spaces
     B1 North 1 spaces
     X0 West 1 spaces
     E1 North 1 spaces
     K1 West 2 spaces
     P1 South 1 spaces
     C1 East 2 spaces
     E1 North 2 spaces
     D1 East 1 spaces
     X0 East 1 spaces
     B1 South 4 spaces
     D1 West 1 spaces
     X0 West 1 spaces
     E1 South 2 spaces
     C1 West 3 spaces
     E1 North 1 spaces
     A1 North 1 spaces
     O1 West 3 spaces
     Q1 North 1 spaces
     P1 North 2 spaces
     K1 East 2 spaces
     D1 East 4 spaces
     F1 North 1 spaces
     B1 North 1 spaces
     J1 West 2 spaces
     E1 South 3 spaces
     A1 South 3 spaces
     D1 West 2 spaces
     X0 East 2 spaces
     C1 East 2 spaces
     P1 South 1 spaces
     O1 East 2 spaces
     F1 North 3 spaces
     B1 North 3 spaces
     D1 West 2 spaces
     X0 West 2 spaces
     E1 North 2 spaces
     A1 North 2 spaces
     L1 West 2 spaces
     K1 West 4 spaces
     E1 South 1 spaces
     Q1 South 3 spaces
     P1 South 2 spaces
     A1 South 1 spaces
     X0 East 5 spaces


Process finished with exit code 0
