35361     ,  5872400728949.5,       6535,   83886075, fffff, 50081, fff00, 50000, 17c07, 03a91, 0549a, 176ec, 1423a, 1754a, 00007, 1ffff, 00001, 00001, 1ff44, 01110, 00001, 00001, 00001, 000ce, 00001, 00001, 15e62, 09901, 00001, 0871f, 1f000, 08bc4, 06001, 08a06, 00002, 00002, 00001, 00001, 0000e, 00227
35362     ,  5872401428944.0,       6540,   83886075, fffff, 4a84d, fffff, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35363     ,  5872401609046.0,       6505,       6435, 4a89f, 4c09e, 4c001, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35364     ,  5872415239781.5,   83886075,   83886075, fffff, 580ba, fffff, fffff, 00200, 0f310, 00f4f, 120c1, 1ff33, 19fbe, 1fffa, 00001, 00290, 00038, 00181, 00290, 00290, 00001, 00001, 00800, 06516, 05400, 00001, 00001, 04e85, 11200, 15204, 09800, 00774, 00001, 00001, 00001, 00100, fffff, fffff, fffff
35365     ,  5872415877819.0,   83886075,   83886075, fffff, 58103, fffff, fffff, 01000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35366     ,  5872415955818.5,   83886075,   83886075, fffff, 58913, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35367     ,  5872416013819.0,   83886075,   83886075, fffff, 58983, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35368     ,  5872416071818.5,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35369     ,  5872416129822.5,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35370     ,  5872416187822.5,       6470,   83886075, fffff, 44804, fffff, 44000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35371     ,  5872416247777.5,       6505,       6510, 48858, 46058, 46001, 48000, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35372     ,  5872416592279.5,   83886075,   83886075, 468c5, 47044, fffff, 46001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35373     ,  5872430864717.5,   83886075,   83886075, fffff, 58142, fffff, fffff, 01000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35374     ,  5872430942752.0,   83886075,   83886075, fffff, 58957, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35375     ,  5872431000751.5,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35376     ,  5872431058752.0,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35377     ,  5872431116751.5,       6540,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 101b6, 00f4f, 14001, 1ff35, 02000, 1fffc, 02000, 0029c, 00010, 00181, 0029c, 0029c, 00001, 00001, 1f801, 06516, 04801, 00001, 00001, 04e85, 12601, 1ff0c, 00951, 00774, 00001, 0080a, 101b6, 1fa42, 1febc, 00190, fffff
35378     ,  5872431796811.0,       6480,   83886075, fffff, 4e8a2, fffff, 4e000, 0186b, 0000b, 00001, 00001, 021bc, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 000fe, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35379     ,  5872432196805.0,       6485,   83886075, fffff, 4f8a6, fffff, 4f001, 00ffe, 01fff, 00ffe, 01fff, 016e7, 007b4, 00ff8, 00ffe, 01708, 02996, 01fff, 00269, 0000d, 00037, 0004a, 1ffb8, 01146, 00634, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35380     ,  5872446489643.5,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35381     ,  5872446547683.5,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35382     ,  5872446605727.5,       6475,   83886075, fffff, 4c88e, fffff, 4c001, 00ee8, 02377, 025a0, 025fa, 0062f, 00721, 0f946, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35383     ,  5872462114574.0,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35384     ,  5872462172614.0,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35385     ,  5872462230614.0,       6495,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 10560, 00f4f, 14001, 1ff35, 04000, 1fffc, 04000, 0029f, 00007, 00181, 0029f, 0029f, 00001, 00001, 1f801, 06516, 04401, 00001, 00001, 04e85, 12a01, 1ff0c, 00951, 00774, 00001, 0080a, 10560, 1fa53, 1fff9, 0019f, fffff
35386     ,  5872462910674.0,       6435,   83886075, fffff, 4d0d4, fff00, 4d000, 10000, 00bed, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35387     ,  5872463170671.5,       6430,   83886075, fffff, 4c8d4, fffff, 4c001, 1ffff, 00bed, 00bed, 03d53, 01c7d, 07408, 0000b, 00001, 00391, 173b9, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35388     ,  5872463430671.5,       6435,   83886075, fffff, 50081, fff00, 50000, 17c07, 03a91, 0549a, 176ec, 1423a, 1754a, 00007, 1ffff, 00001, 00001, 1ff44, 01110, 00001, 00001, 00001, 000ce, 00001, 00001, 15e62, 09901, 00001, 0871f, 1f000, 08bc4, 06001, 08a06, 00002, 00002, 00001, 00001, 0000e, 00227
35389     ,  5872464130666.5,   83886075,   83886075, fffff, 45067, fffff, fffff, 00ffe, 01fff, 00ffe, 01fff, 016e7, 007b4, 00ff8, 00ffe, 01708, 02996, 01fff, 00269, 0000d, 00037, 0004a, 1ffb8, 01146, 00634, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35390     ,  5872464588773.5,       6500,       6505, 4c84d, 4204d, 42000, 4c001, 00001, 001a6, 003f7, 01dd0, 00224, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35391     ,  5872464793267.5,       6445,   83886075, fffff, 4a84d, fffff, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35392     ,  5872464973266.0,       6505,       6440, 4a89f, 4c09e, 4c001, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
