Time " Duration" " SrcDevice" " DstDevice" " Protocol" " Src" " Dst" " SrcPackets" " DstPackets" " SrcBytes" " DstBytes"
118781 5580 364445 547245 17 05507 46272 0 755065 0 1042329018
118783 6976 450942 829338 6 03137 445 1665 1108 300810 250408
118785 14178 564116 141988 17 5060 5060 1866 0 1477041 0
118785 28147 564116 141988 17 5060 5060 3326 0 2656305 0
118785 48507 564116 141988 17 5060 5060 5423 0 4388449 0
118785 63173 564116 141988 17 5060 5060 7061 0 5745536 0
118785 78594 564116 141988 17 5060 5060 8638 0 7052947 0
118785 90763 564116 141988 17 5060 5060 9943 0 8105139 0
118785 104427 564116 141988 17 5060 5060 11544 0 9398696 0
118785 115677 564116 141988 17 5060 5060 13011 0 10586412 0
118785 135078 564116 141988 17 5060 5060 14876 0 12128980 0
118785 148289 564116 141988 17 5060 5060 16366 0 13365368 0
118785 167723 564116 141988 17 5060 5060 18213 0 14897583 0
118785 179543 564116 141988 17 5060 5060 19467 0 15924693 0
118785 189213 564116 141988 17 5060 5060 20703 0 16920558 0
118785 200844 564116 141988 17 5060 5060 21922 0 17905913 0
118785 212848 564116 141988 17 5060 5060 23159 0 18931121 0
118785 223056 564116 141988 17 5060 5060 24344 0 19914020 0
118785 238229 564116 141988 17 5060 5060 25816 0 21135448 0
118785 253649 564116 141988 17 5060 5060 27333 0 22393722 0
118785 262319 564116 141988 17 5060 5060 28257 0 23149303 0
118841 5071 364445 870517 17 55006 46272 0 387956 0 528637071
118843 15340 364445 870517 17 68697 28366 2702 3219 226968 296148
118843 28287 364445 870517 17 68697 28366 5445 6438 457380 592296
118843 49709 364445 870517 17 68697 28366 9296 11957 780864 1100044
118843 64823 364445 870517 17 68697 28366 12773 15636 1072932 1438512
118843 81329 364445 870517 17 68697 28366 15801 19775 1327284 1819300
118843 86909 364445 870517 17 68697 28366 17015 21155 1429260 1946260
118844 7788 346466 337732 6 97114 445 4504 3544 951517 632127
118844 15339 364445 547245 17 15083 28366 2673 3219 224532 296148
118844 27706 364445 547245 17 15083 28366 5307 6438 445788 592296
118844 47121 364445 547245 17 15083 28366 9031 11033 758604 1015036
118844 62728 364445 547245 17 15083 28366 12076 15169 1014384 1395548
118872 5717 563964 337732 6 13726 445 5462 4692 1116322 791041
118901 5071 364445 834072 17 47348 46272 0 625559 0 870655259
118901 5071 364445 634161 17 60295 46272 0 351743 0 476432504
118901 5071 364445 372656 17 21459 46272 0 634155 0 882924509
118902 15281 364445 634161 17 02221 28366 2693 3217 226212 295964
118902 28231 364445 634161 17 02221 28366 5441 6433 457044 591836
118902 49650 364445 634161 17 02221 28366 9276 11939 779184 1098388
118902 64766 364445 634161 17 02221 28366 12749 15620 1070916 1437040
118902 81270 364445 634161 17 02221 28366 15799 19759 1327116 1817828
118902 86850 364445 634161 17 02221 28366 16996 21137 1427664 1944604
118903 15280 364445 372656 17 90832 28366 2696 3219 226464 296148
118903 28228 364445 372656 17 90832 28366 5459 6438 458556 592296
118903 49709 364445 372656 17 90832 28366 9292 11955 780528 1099860
118903 64765 364445 372656 17 90832 28366 12754 15634 1071336 1438328
118903 81329 364445 372656 17 90832 28366 15792 19772 1326528 1819024
118903 86909 364445 372656 17 90832 28366 16994 21152 1427496 1945984
118904 15279 364445 834072 17 06042 28366 2684 3221 225456 296332
118904 28226 364445 834072 17 06042 28366 5423 6442 455532 592664
118904 49708 364445 834072 17 06042 28366 9269 11960 778596 1100320
118904 64765 364445 834072 17 06042 28366 12712 15639 1067808 1438788
118904 81328 364445 834072 17 06042 28366 15723 19779 1320732 1819668
118904 86908 364445 834072 17 06042 28366 16922 21159 1421448 1946628
118909 15274 221976 337732 6 50228 10431 2865 1605 900138 393270
118909 21039 221976 337732 6 50228 10431 4405 2391 1423748 647180
118911 5061 733281 141988 17 5060 5060 837 0 636108 0
118965 5251 894353 459225 6 25631 80 3767 3770 173282 735150
118965 15286 894353 852050 6 36707 80 13231 13013 608626 2539705
118965 18218 022035 812314 6 14631 52265 2263300 1776876 387183650 317720182
118965 28072 894353 852050 6 36707 80 26147 25675 1202762 5009725
118965 34351 022035 812314 6 14631 52265 4274942 3776201 731042234 675341272
118965 47977 894353 852050 6 36707 80 47655 45262 2192130 8829345
118965 49231 022035 812314 6 14631 52265 6284305 5551180 1074938310 992680132
118965 62858 894353 852050 6 36707 80 63049 62558 2900254 12202065
118965 64114 022035 812314 6 14631 52265 8302476 7333500 1420439552 1311313168
118965 77133 022035 812314 6 14631 52265 10059723 8886944 1720978046 1589496780
118965 92010 022035 812314 6 14631 52265 12068485 10659653 2064936220 1906437876
118965 108754 022035 812314 6 14631 52265 14325815 12655123 2451094480 2263694642
118965 123630 022035 812314 6 14631 52265 16339881 14435801 2795331962 2582295794
118965 137258 022035 812314 6 14631 52265 18360242 15997083 3141198234 2861450760
118965 150278 022035 812314 6 14631 52265 20126742 17557943 3443738534 3140394204
118965 164549 022035 812314 6 14631 52265 21890421 19338761 3745845342 3458931402
118965 179435 022035 812314 6 14631 52265 23904809 21117410 4090583768 3777002498
118965 193058 022035 812314 6 14631 52265 25877679 22635803 4427191408 4049341444
118965 207335 022035 812314 6 14631 52265 27643661 24419231 4729589022 4368156136
118965 222208 022035 812314 6 14631 52265 29665278 26204949 5076051206 4687132738
118965 235838 022035 812314 6 14631 52265 31684798 27765500 5422315796 4965920802
118965 246999 022035 812314 6 14631 52265 33199360 29103050 5682133820 5204654808
118976 5186 556565 141988 17 5060 5060 390 0 320652 0
118983 12302 157077 967517 1 15379 15379 702 0 32292 0
118990 4986 062944 494235 6 33752 22 1486 743 124824 62412
118994 4982 083327 100033 17 631 631 3844 0 800296 0
