,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.39260931367974566,0.3865981721868727,0.4162119063343308,0.3962318246683561,0.3799216340274246,0.3901461874339597,0.38803627426047416,0.44359564512045524,0.38466997575049844,0.4158795087821009,0.3994,0.3799,0.4436,0.0637
Manhattan,0.31745628216821326,0.3138529791285322,0.30140282783095473,0.3069291800479847,0.23298819740657953,0.3040150436669117,0.31622159307776176,0.3125875293899769,0.2741234675104469,0.3179312463024665,0.2998,0.233,0.3179,0.0849
$l_p$: $p=r=0.5$,0.28500000336113945,0.27665970629574704,0.27957984427392163,0.2854721718106112,0.1299601211032492,0.26400542786920067,0.2866729852799872,0.2919962337043881,0.2730195667564189,0.28980741812795163,0.2662,0.13,0.292,0.162
$l_p$: $p=r=0.75$,0.3112801063796514,0.29130131691773964,0.28362613500110817,0.3091367508886215,0.1862677825038425,0.29985692957773946,0.3013630366040599,0.30324948966296583,0.27013666888430155,0.30387194043297017,0.286,0.1863,0.3113,0.125
Cosine,0.3192579434920897,0.35974352860469627,0.3459532145780301,0.3491664738708095,0.325377272082297,0.3475507779660198,0.31941483759769795,0.3262170971431351,0.3404518855447754,0.3411654165898998,0.3374,0.3193,0.3597,0.0404
Mahalanobis,0.3204575703098784,0.3235749177420518,0.32056530143506246,0.29238377149403116,0.2273767603695272,0.3225419738306637,0.3334526068547228,0.3380502865948677,0.32376497122141934,0.3333192291717371,0.3135,0.2274,0.3381,0.1107
Wasserstein,0.28460394030620356,0.25569012785262263,0.2926160568551823,0.2908508955289034,0.29072391275287063,0.2828283727517974,0.27281925785000466,0.3048181035945306,0.24412611769738826,0.28750192834571353,0.2807,0.2441,0.3048,0.0607
Entropy,0.2979653402600891,0.2977067549921278,0.31742197424675195,0.3228893444965687,0.32545605355362206,0.2981481596352771,0.3120449503837114,0.28414270441031164,0.2837914589267133,0.31287248923776867,0.3052,0.2838,0.3255,0.0417
Perplexity,0.32079519277165747,0.3058572039997079,0.31929038124286385,0.3077513605084693,0.32376025984021184,0.29176359375030775,0.310821338935163,0.2747767167041047,0.2942151569194257,0.29952240485457843,0.3049,0.2748,0.3238,0.049
MMD,0.24876109845537514,0.2810255756750422,0.24674580859452241,0.24518286301798464,0.23293627012554186,0.30139434731731457,0.2873801609353406,0.25967716621617887,0.237739209352833,0.24963019535264222,0.259,0.2329,0.3014,0.0685
