,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.4517357548946721,0.416735733360537,0.4193917653741722,0.45044701528348935,0.38153963477621955,0.4129722632560793,0.4274507836691289,0.44620953335992264,0.41595970410949973,0.4085661422913768,0.4231,0.3815,0.4517,0.0702
Manhattan,0.4821622880882876,0.5273225174746305,0.523581555677678,0.49264231296199973,0.39581171063070547,0.5178620490039824,0.47619512596429786,0.4976213044888706,0.48546502239954525,0.5058432740907478,0.4905,0.3958,0.5273,0.1315
$l_p$: $p=r=0.5$,0.3117732660809435,0.3260738823358721,0.33609485920910376,0.31817074024977676,0.02236471388372816,0.3222954878809793,0.2770258634280583,0.3396101873479024,0.3127325223283129,0.305971118240998,0.2872,0.0224,0.3396,0.3172
$l_p$: $p=r=0.75$,0.4225061195855155,0.4519319207488747,0.46964060209247416,0.44639136370014354,0.3281460856384214,0.44769270969409103,0.41534978569299363,0.44356151537137256,0.42147330171278946,0.4433795284716424,0.429,0.3281,0.4696,0.1415
Cosine,0.7239693413071094,0.7156618013555078,0.721134936806322,0.7379122002647778,0.7151706609064049,0.7178761990771417,0.7471156326760027,0.7190538185273581,0.7197073830477934,0.7251878196470839,0.7243,0.7152,0.7471,0.0319
Mahalanobis,0.9937821928093383,0.990307386333726,0.9915517637318076,0.9915594278610546,0.5358740769980002,0.994041167920132,0.9874377772476219,0.9918952187371419,0.9924560684208951,0.9883592526103426,0.9457,0.5359,0.994,0.4581
Wasserstein,0.7379020563734014,0.7419156270845245,0.7484918907605108,0.7610739190458581,0.7281980982166016,0.757806679558553,0.7325969070644881,0.7413910838990122,0.7456338401947445,0.7611509429176244,0.7456,0.7282,0.7612,0.033
Entropy,0.8532340963740699,0.8436223395893634,0.8682163429138954,0.8526983381424306,0.8527986136663448,0.864466282484969,0.8551794247897069,0.851328125890305,0.850826800333792,0.8759195870788401,0.8568,0.8436,0.8759,0.0323
Perplexity,0.8423548110184195,0.8289270243647343,0.8530835732992068,0.8399596085153755,0.8400285950405076,0.8479182826723751,0.8408386810309947,0.8377517583773622,0.839329466266074,0.8597011589081038,0.843,0.8289,0.8597,0.0308
MMD,0.5579482350382619,0.5084171854588029,0.514709192054938,0.5436651689205309,0.4995073773317663,0.5384774222735897,0.5297261565099349,0.5331000974597451,0.5038150147274004,0.5444394801028133,0.5274,0.4995,0.5579,0.0584
