,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.8903935800185834,0.8755275797988694,0.8841528760222257,0.891345795168504,0.8601619600564261,0.8952981416601187,0.8732294009746366,0.8984967106580225,0.8850022071130823,0.892418884308634,0.8846,0.8602,0.8985,0.0383
Manhattan,0.2486415565638458,0.2395508991419275,0.276716221555786,0.26606556727843933,0.0838567515926563,0.2568280746212656,0.2800809541450244,0.2821312403460233,0.2657238519793784,0.23586735842010592,0.2435,0.0839,0.2821,0.1982
$l_p$: $p=r=0.5$,0.2250509085950833,0.25233218047557,0.251226872615904,0.2552580620940472,0.02236471388372816,0.23236450052572002,0.23636862460459573,0.26703127163695134,0.24399207648556623,0.24321460458064603,0.2229,0.0224,0.267,0.2446
$l_p$: $p=r=0.75$,0.23942414916224022,0.25615693182781474,0.29508944025966033,0.26652410199348303,0.10849861200370946,0.2761132151435394,0.2467304270167982,0.2840883627759169,0.2642630893887701,0.24865219147098644,0.2486,0.1085,0.2951,0.1866
Cosine,0.9939475320292734,0.9981519940237934,0.9971346841229483,0.9959216535569242,0.9959816885576922,0.999499874937461,0.9961821197614475,0.9980371821584884,0.997486379861909,0.9954328387358727,0.9968,0.9939,0.9995,0.0056
Mahalanobis,0.9977175413214995,0.9946254257637374,0.9961716186192155,0.9977733718254261,0.5315955660864462,0.9973076537603219,0.9937035643381489,0.9975946971404678,0.9966727255027592,0.9953234254125556,0.9498,0.5316,0.9978,0.4662
Wasserstein,0.8929108065229177,0.8897180138211788,0.8989007116239361,0.9010947080740251,0.8802209931372602,0.9052794696410934,0.881244133159164,0.8955600241902812,0.8971771852672972,0.9083766289664968,0.895,0.8802,0.9084,0.0282
Entropy,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
Perplexity,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
MMD,0.5983340725059213,0.5528153484508432,0.5701436570801856,0.5884979280183487,0.5538485532071288,0.5906057949076814,0.5697986059391165,0.5921576324943915,0.5674019962935063,0.5794468341579724,0.5763,0.5528,0.5983,0.0455
