,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.4321619905193892,0.45815097589947934,0.44884138923021155,0.45010477626773915,0.4318704002015663,0.46079543743518897,0.44143137669412447,0.454602312142216,0.4533945786954382,0.4630848568586176,0.4494,0.4319,0.4631,0.0312
Manhattan,0.70104531421491,0.7066165942603471,0.7354860107612221,0.7106478472253042,0.6925453472245603,0.7119379309386715,0.6950484213240441,0.7046685755777965,0.7205188713761986,0.7283311800788923,0.7107,0.6925,0.7355,0.043
$l_p$: $p=r=0.5$,0.9563514820786745,0.945066738504449,0.9493982422474041,0.9567493760940287,0.9316659167065737,0.9504505433303916,0.9401381999556793,0.9417137199849779,0.9480167406149896,0.9559299689817422,0.9475,0.9317,0.9567,0.025
$l_p$: $p=r=0.75$,0.8478076096542467,0.8415357505732989,0.8489216159935155,0.8586574932358672,0.8304912133216583,0.8438762870574409,0.8286427360698077,0.8361414833880587,0.8489889282422436,0.8566694824652581,0.8442,0.8286,0.8587,0.0301
Cosine,0.9671671513196959,0.9594312027923608,0.9653600153004667,0.9695797110614098,0.9476508913427721,0.971203129510851,0.9639094432293696,0.9514198111569699,0.9539105911566941,0.976845603607522,0.9626,0.9477,0.9768,0.0291
Mahalanobis,0.9979849777098792,0.999311040792064,1.0,0.9993110407920641,0.8176819090333071,0.9980957768484854,1.0,0.997781053955843,0.997168563211298,0.9990971823415286,0.9806,0.8177,1.0,0.1823
Wasserstein,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0
Entropy,0.7243001994109335,0.7101697342552677,0.7295050444442455,0.7134528677367157,0.717436754855931,0.7007278873531753,0.7156438013830639,0.7219003989401279,0.7332034436808854,0.7128614530328201,0.7179,0.7007,0.7332,0.0325
Perplexity,0.5352955342985998,0.5642243500019359,0.569866398143532,0.54489265959568,0.54291442422449,0.5500791344903627,0.5679141171992704,0.5638294973756719,0.555846647526329,0.573911645389725,0.5569,0.5353,0.5739,0.0386
MMD,0.1858307131112024,0.1910754860108734,0.1898027071993166,0.20073056803481845,0.1295559326671334,0.18945049916842668,0.17668643722944238,0.18660687550410363,0.1898401422915139,0.19863309090456607,0.1838,0.1296,0.2007,0.0711
