,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.32903224165393463,0.3401551771005921,0.34289276841571836,0.34383341708989534,0.31802893749283656,0.34574448013338654,0.3374661428243805,0.3320970370593051,0.33695053296152183,0.35116540688373143,0.3377,0.318,0.3512,0.0332
Manhattan,0.6126270044946202,0.6247984404593732,0.6417250480594471,0.6314978498636761,0.6062363763569959,0.6246343086236539,0.6182615798764625,0.6258216545519496,0.638712484631087,0.6522847545168329,0.6277,0.6062,0.6523,0.0461
$l_p$: $p=r=0.5$,0.9436553155619096,0.9328338937958887,0.9419295015335873,0.9472757846411386,0.9249073987096544,0.938247698882775,0.9302580445731963,0.9317928924834753,0.946657376167921,0.9475389484209036,0.9385,0.9249,0.9475,0.0226
$l_p$: $p=r=0.75$,0.7853996886363706,0.7888238047238051,0.804503829797823,0.801987577026542,0.7750085198777714,0.7972774072169326,0.7730572269299044,0.7906249320754185,0.7987422979262649,0.8063110010998774,0.7922,0.7731,0.8063,0.0332
Cosine,0.9683820554412897,0.9657667180231636,0.9676196490694116,0.9691410509748534,0.9501519052576356,0.971985001017277,0.9646756889338749,0.9478279328626072,0.954505069773488,0.9747061676978213,0.9635,0.9478,0.9747,0.0269
Mahalanobis,1.0,0.9991883925221919,1.0,1.0,0.8238859813499594,0.9989994994993742,1.0,0.9981207905348113,0.9974095158094299,0.9990971823415286,0.9817,0.8239,1.0,0.1761
Wasserstein,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0
Entropy,0.6649762499065284,0.6584924425155401,0.6504757148372025,0.6610595991794,0.6458894410032174,0.634775966920867,0.6426287011576669,0.65443117919995,0.6315576961037016,0.6518291925774412,0.6496,0.6316,0.665,0.0334
Perplexity,0.7557555610306507,0.7529085079944794,0.7703496276622507,0.7759731747106208,0.7538137964261397,0.7664089910655055,0.7739883552280958,0.7497629330520641,0.7591267277347838,0.7704336547837419,0.7629,0.7498,0.776,0.0262
MMD,0.18001304598647822,0.201017305217048,0.1917908430464051,0.19148561168022257,0.14441920801159394,0.18941118942039764,0.16314266240344627,0.1541360667109067,0.18800328543610897,0.17912357838416607,0.1783,0.1444,0.201,0.0566
