,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
Euclidean,0.648455715151161,0.6574970983669187,0.6552447005064096,0.6569209277053241,0.6539654165803803,0.6755614143830354,0.6387636337251614,0.6368870154486358,0.6465354243539839,0.6792849843331322,0.6549,0.6369,0.6793,0.0424
$l_p$: $p=r=0.5$,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
$l_p$: $p=r=0.75$,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
Cosine,0.752338420331162,0.7443428027150714,0.739631036497573,0.7550368738346771,0.7663200233440106,0.7514870439524703,0.7512349323787995,0.7497457133296658,0.7611499313185132,0.754009378332396,0.7525,0.7396,0.7663,0.0267
Mahalanobis,0.671928496033678,0.678652009577979,0.6774154789551979,0.68412789199043,0.6530862361599992,0.700384858755013,0.6670497246161342,0.6598236887576406,0.6670301767902066,0.6928195146069419,0.6752,0.6531,0.7004,0.0473
Wasserstein,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0
Entropy,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
Perplexity,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
MMD,0.6534408864145985,0.64804955472452,0.695899804666933,0.6557125061603444,0.669839431564481,0.6697574520239268,0.6631460159718606,0.6518585217197765,0.6670570077865305,0.6909596447321379,0.6666,0.648,0.6959,0.0479
FID,0.8472620260626847,0.8493231675160768,0.856572273725931,0.8388711952830233,0.8601227025123193,0.8560290878533863,0.8596144279924703,0.8369393574123536,0.8549623967474744,0.8738912607803342,0.8534,0.8369,0.8739,0.037
