,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.6355060733244946,0.6530894208106692,0.6486327922036257,0.6454630242001408,0.6290861299764139,0.6434752593660455,0.6186234821970795,0.654224656834025,0.6406914905669763,0.6557771494525974,0.6425,0.6186,0.6558,0.0372
Manhattan,0.8018893549902995,0.8160127466704651,0.8220784492593356,0.8220472157131214,0.7865304886337017,0.8052639796818181,0.8059287608729511,0.7931025361583883,0.8182705232535643,0.8184372418061556,0.809,0.7865,0.8221,0.0356
$l_p$: $p=r=0.5$,0.9632417818859172,0.9584160136549787,0.9566157829083151,0.9614508299515858,0.9509185730719184,0.9570974488588174,0.955646356241834,0.9452192096590228,0.9554730520032108,0.9638970040528629,0.9568,0.9452,0.9639,0.0187
$l_p$: $p=r=0.75$,0.8934353668682594,0.8809940219852941,0.8927829011911085,0.9082123967492672,0.8760551275407251,0.8848161965767218,0.8778540442476119,0.8778493998233642,0.886275928792034,0.8847335437930787,0.8863,0.8761,0.9082,0.0321
Cosine,0.9601223354037905,0.9551539385588582,0.9613904335556895,0.962502804481561,0.9399899124507067,0.9659531194941844,0.9613666259216131,0.9466184102967488,0.9479951665668885,0.9700025603571589,0.9571,0.94,0.97,0.03
Mahalanobis,0.9993110407920641,0.999499874937461,1.0,1.0,0.8221057307439137,0.9983761252665067,0.9999999999999999,0.9979106885023337,0.9975997808845238,0.999499874937461,0.9814,0.8221,1.0,0.1779
Wasserstein,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
Entropy,0.6015610624788659,0.6082285125408451,0.6282727947391766,0.608487985771504,0.5985564503919297,0.6247155721786468,0.6068447197203468,0.6117028469264557,0.629510539132533,0.6261428097014626,0.6144,0.5986,0.6295,0.0309
Perplexity,0.44431748375203145,0.4733294925666385,0.47414765763818234,0.4683243443733574,0.47474361577052837,0.44633670842377493,0.4831608005460518,0.47951700271372355,0.4781458817803575,0.4875416914909663,0.471,0.4443,0.4875,0.0432
MMD,0.1966402524040312,0.18706259070534004,0.19178186735185382,0.19237138769574852,0.15353038543820235,0.2180469012569961,0.19262044924527455,0.16339306497592734,0.1857876647133554,0.21505400710285202,0.1896,0.1535,0.218,0.0645
