,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.545850785464221,0.5552137042486736,0.5559500867790795,0.5497887872621061,0.5450972255952309,0.5575783719199434,0.5456697353904303,0.5738823384770584,0.5681135310384814,0.5681142786430556,0.5565,0.5451,0.5739,0.0288
Manhattan,0.7559236266463282,0.7811911286002977,0.7737017750735866,0.774738180285605,0.735356295692877,0.7632897145363516,0.746414835893103,0.7443195540619327,0.7835677167851793,0.781109672946466,0.764,0.7354,0.7836,0.0482
$l_p$: $p=r=0.5$,0.9587427108587285,0.9515400504916525,0.9487598741056276,0.9577455792130622,0.9347754399341638,0.9494351719371626,0.9444342751426384,0.9371848663062153,0.9489404399226621,0.9516209569704518,0.9483,0.9348,0.9587,0.0239
$l_p$: $p=r=0.75$,0.8679598836096963,0.8531591890309113,0.8654970644760429,0.8740937648277898,0.8541306569760618,0.8602697003880675,0.8544695420234703,0.846831541289506,0.8654743006721858,0.8639950340234787,0.8606,0.8468,0.8741,0.0273
Cosine,0.9617687384585312,0.9597089190932243,0.964790920624343,0.9661137606789715,0.943846366063016,0.9662580610913738,0.9624772223015504,0.94730845492583,0.9516564150158375,0.9716581794774386,0.9596,0.9438,0.9717,0.0279
Mahalanobis,1.0,0.999499874937461,1.0,0.9999999999999999,0.8292649382420864,0.999499874937461,1.0,0.9993110407920641,0.999499874937461,1.0,0.9827,0.8293,1.0,0.1707
Wasserstein,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Entropy,0.5813312410997605,0.5822133720087066,0.6004743523899698,0.5959878862819974,0.5926306286651652,0.5942180623081409,0.5953441873089003,0.588753595159084,0.6155726756471377,0.6014582710503779,0.5948,0.5813,0.6156,0.0343
Perplexity,0.5896488595556323,0.5965509537196771,0.6074859798712993,0.6139238613320779,0.6010066230755247,0.5853074922408847,0.6152983376528092,0.6017452087482477,0.6106983447883225,0.6198248229424566,0.6041,0.5853,0.6198,0.0345
MMD,0.18960544760102552,0.18908157576294535,0.17276294405199796,0.18202741967409908,0.13355064422455032,0.2009313598801323,0.1880487849314942,0.15384370408833486,0.1766467309481272,0.19151196946378485,0.1778,0.1336,0.2009,0.0673
