,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0
Euclidean,0.6381352431474224,0.6273503098892043,0.6329461507881798,0.6485853616502787,0.6432077896571962,0.6683360170398843,0.6321663630880601,0.6467028562916284,0.6383109654096523,0.6704625084323407,0.6446,0.6274,0.6705,0.0431
$l_p$: $p=r=0.5$,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0
$l_p$: $p=r=0.75$,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Cosine,0.7330081460327335,0.7333485996114976,0.7214293059702047,0.7456110766946105,0.7457378916130908,0.7448075305194962,0.7256334575485152,0.7393079672173023,0.7374756911375117,0.7261703945100486,0.7353,0.7214,0.7457,0.0243
Mahalanobis,0.6616178430202615,0.649862077810031,0.6607999954392394,0.6790907776889654,0.6543017383803714,0.6983610311436917,0.6628334547269162,0.6680030810806632,0.662334450666493,0.6887400456991201,0.6686,0.6499,0.6984,0.0485
Wasserstein,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0
Entropy,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
Perplexity,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
MMD,0.674705112772894,0.6653355927862512,0.7046338826454362,0.6808085332734535,0.6800431216485823,0.6884338874837217,0.6767884938504227,0.6678508188205863,0.6879913833221765,0.7062135388643909,0.6833,0.6653,0.7062,0.0409
FID,0.8915339084991611,0.8889444942397431,0.9016733727392501,0.8884258830108809,0.9027067600025968,0.9013238546660873,0.9018802216701429,0.8879576574871777,0.8961602047728211,0.9151513699845237,0.8976,0.888,0.9152,0.0272
