,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.40437078624257705,0.4211686203047806,0.41662588684357765,0.41239513385905746,0.4014710441134888,0.42997530347869506,0.4270841759679487,0.41695448499546683,0.41368198246148996,0.43315051873256744,0.4177,0.4015,0.4332,0.0317
Manhattan,0.6720177290574982,0.6819619572455031,0.7076457401594609,0.6895994462206219,0.6703299128130876,0.6880111114267861,0.6745843057676386,0.6873364160644673,0.7007548727210259,0.7081741903380293,0.688,0.6703,0.7082,0.0379
$l_p$: $p=r=0.5$,0.9507468828712167,0.9433620241475545,0.949517413963581,0.9586670351422915,0.9328304393531099,0.9477656926945685,0.9344310827643658,0.9385845484368384,0.9507047412123006,0.9533477988954816,0.946,0.9328,0.9587,0.0259
$l_p$: $p=r=0.75$,0.8299988794015333,0.8341089494768953,0.8423912131711313,0.8435324928252268,0.8313165605654536,0.8355045701825903,0.8160991771360128,0.8237494221560518,0.8344199615838982,0.8457869986858759,0.8337,0.8161,0.8458,0.0297
Cosine,0.9643393623821083,0.956879175523768,0.9648705738645291,0.9717205066232414,0.9449172690835953,0.9695644402204641,0.9651721715333976,0.9494067539483168,0.954521524128916,0.9742762232020938,0.9616,0.9449,0.9743,0.0294
Mahalanobis,0.9982790590414642,0.999311040792064,0.9999999999999999,0.9991883925221919,0.8150454697213957,0.9975946971404678,0.9999999999999999,0.9961489177333839,0.9954717146377419,0.9983505410278372,0.9799,0.815,1.0,0.185
Wasserstein,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Entropy,0.7086371462949599,0.6986273629734817,0.7373643679079773,0.7070969209575574,0.6911491723263187,0.692785433062837,0.7082593386376465,0.7185845948449331,0.7210749281273555,0.708015982217033,0.7092,0.6911,0.7374,0.0463
Perplexity,0.5212477676198553,0.5371175272161703,0.5427377441962412,0.5294734852222026,0.5100936465747614,0.5346434761617065,0.5411217145530055,0.5398953617946816,0.5346368724190305,0.5473912584162282,0.5338,0.5101,0.5474,0.0373
MMD,0.19365747188825314,0.20499435710337657,0.1822814377045073,0.18116710029415747,0.13359913672928292,0.18304055480986536,0.18200761681190247,0.172566960639914,0.18946143499921178,0.21492568402098694,0.1838,0.1336,0.2149,0.0813
