,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.27711681699555957,0.2839223297159728,0.2853839012202273,0.2779858802566547,0.28236912038601847,0.29449461717481745,0.2890066504023963,0.2843608677909709,0.2746234360786076,0.2840602540637208,0.2833,0.2746,0.2945,0.0199
Manhattan,0.5619483735455636,0.5885952776845633,0.595406958484529,0.58499148249145,0.5605634882330515,0.5828153771279828,0.5777698292554762,0.5832427984293114,0.5952985039133399,0.6051700365345498,0.5836,0.5606,0.6052,0.0446
$l_p$: $p=r=0.5$,0.9362760896241237,0.9273890274951593,0.9361215120413163,0.9434731909144245,0.927014867574187,0.9321883801178775,0.9238321059617527,0.9235777195845967,0.940052582297852,0.9413728335772586,0.9331,0.9236,0.9435,0.0199
$l_p$: $p=r=0.75$,0.7555027274304917,0.762567877646904,0.7807799620895267,0.7709521124898886,0.7458159578248227,0.7699196362243186,0.7440028469137288,0.7651482298620675,0.7724477892370643,0.7818112662825123,0.7649,0.744,0.7818,0.0378
Cosine,0.9665754363324862,0.9652088636173884,0.9672019207694803,0.970273493795544,0.9513596752170577,0.9733271271265872,0.9658091137918302,0.9482832304274997,0.95655087052788,0.97505785995107,0.964,0.9483,0.9751,0.0268
Mahalanobis,0.999311040792064,1.0,1.0,1.0,0.8229950766347198,0.9989994994993742,0.9999999999999999,0.9976755593684244,0.9972547813363335,0.999024490558192,0.9815,0.823,1.0,0.177
Wasserstein,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
Entropy,0.7347440861562096,0.7224994016341233,0.7308504284282794,0.7268535165198448,0.7156766977103155,0.7228524534056692,0.7255624500763014,0.7172215317434502,0.7077020385858257,0.7198258977735145,0.7224,0.7077,0.7347,0.027
Perplexity,0.7986164510281266,0.7853023645013372,0.8030721278667176,0.8117133965199601,0.8027449288556348,0.8022016425607493,0.8083034074772877,0.7813175785744109,0.7987155400450701,0.8068956512609178,0.7999,0.7813,0.8117,0.0304
MMD,0.20521950548823625,0.2068870845531183,0.16848360954303807,0.20065327815649034,0.12923509117680917,0.19069217546937142,0.17989039006771976,0.16284137461576662,0.19640950086851852,0.2013540400214763,0.1842,0.1292,0.2069,0.0777
