,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.3326391357502578,0.32262917052002676,0.3336021857028831,0.32990798952167066,0.335971387985462,0.33667451302670104,0.3430326331775419,0.33288033856787025,0.33229602074347114,0.3336623128967487,0.3333,0.3226,0.343,0.0204
Manhattan,0.2926198066805452,0.27605996357811646,0.29367187238706227,0.29229424721222347,0.26434253593837953,0.30435341148368633,0.2980981329716922,0.2766739458108211,0.28613458613112097,0.2884992768768511,0.2873,0.2643,0.3044,0.0401
$l_p$: $p=r=0.5$,0.4246784588435686,0.40957035621005716,0.3922049138701145,0.4024574157322675,0.3622467451563266,0.4521958076964191,0.425300226710117,0.39311878712217857,0.3930011714471442,0.4060430359970284,0.4061,0.3622,0.4522,0.09
$l_p$: $p=r=0.75$,0.3196565553038194,0.27340046760876885,0.3210765233234483,0.29976751442526617,0.2566857147584583,0.3315478066046868,0.29575504570580236,0.2946375133745621,0.29125321877037025,0.3118741001503503,0.2996,0.2567,0.3315,0.0748
Cosine,0.3049962699039284,0.3086888547636459,0.3165292180841275,0.31365940556255484,0.3040877208147509,0.30847261988698726,0.32933422727879,0.32393815374131674,0.3081239622917653,0.29810856575535527,0.3116,0.2981,0.3293,0.0312
Mahalanobis,0.49445039918530403,0.49304043797775055,0.4886159284971764,0.5108054620510235,0.3098970159842158,0.49782074803166065,0.4840191925475975,0.4963227737198355,0.49617020857167593,0.4909950712566047,0.4762,0.3099,0.5108,0.2009
Wasserstein,0.31187036962428955,0.34266451952659166,0.3257978478518675,0.33766200610823477,0.3534460863468835,0.3163555771230508,0.33613603877359766,0.35018234231467954,0.3217698305092553,0.32830066962296583,0.3324,0.3119,0.3534,0.0415
Entropy,0.3759944298687812,0.36750085631054336,0.38159311664667744,0.3744664060303974,0.366802311984919,0.3735911582070024,0.3581856593839278,0.37439297794322607,0.37390648246936703,0.35536988211393067,0.3702,0.3554,0.3816,0.0262
Perplexity,0.30232860038561477,0.30821812846709556,0.30472703190631406,0.3146132461401392,0.2927729808631309,0.32934170920458206,0.3031527657273239,0.2971660774098838,0.32430100767589315,0.3168787848452291,0.3094,0.2928,0.3293,0.0365
MMD,0.22950002887828097,0.22124418708431823,0.24392692643315847,0.24919207656787032,0.1877325981704427,0.2387054869200065,0.24940718833315967,0.25370602625487615,0.23375039481160464,0.21892066618526398,0.2326,0.1877,0.2537,0.066
