,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,0.8949900866916304,0.8951437982356758,0.8797335555010156,0.8855426830131582,0.8902179894709729,0.8834234445910939,0.8731813570663416,0.8860590864288063,0.893406158913849,0.896469004374444,0.8878,0.8732,0.8965,0.0233
Euclidean,0.3876268495502288,0.3995660314353332,0.3769589775111045,0.40194375741741173,0.3752480174633988,0.3881668649780685,0.36047798369698325,0.37768137472332197,0.4056003985633362,0.40163574292494636,0.3875,0.3605,0.4056,0.0451
$l_p$: $p=r=0.5$,0.9650424015750838,0.9566761571635218,0.9564076551208955,0.9581426012483464,0.9615519017161007,0.9608860445577905,0.9512690524679256,0.9573614830410909,0.959635655055085,0.9668856968645015,0.9594,0.9513,0.9669,0.0156
$l_p$: $p=r=0.75$,0.9438985254424704,0.93830274337244,0.933941958414531,0.9378746625701073,0.9415050178755185,0.9385702901436059,0.9308322098386805,0.9380195592152376,0.9423528131918093,0.9459604291937498,0.9391,0.9308,0.946,0.0152
Cosine,0.38553018246498416,0.4080169703932695,0.37727815585678576,0.37074482413691895,0.4191733649150851,0.3962153583749391,0.4048010675910208,0.3874955434765095,0.41559875962569304,0.38480933559157393,0.395,0.3707,0.4192,0.0485
Mahalanobis,0.3942006419139877,0.39183664407737107,0.3779355614631996,0.4047808590504569,0.3547500058271185,0.37894370561138807,0.3505833304845218,0.36264232625725196,0.3939104195850764,0.3960784410646633,0.3806,0.3506,0.4048,0.0542
Wasserstein,0.8973619129218662,0.892339746839695,0.8947385657912245,0.8959287860771568,0.9035424245687274,0.9094724378344328,0.9025426067495215,0.9112116959238739,0.9026451001711377,0.9212129628326421,0.9031,0.8923,0.9212,0.0289
Entropy,0.8340151092685351,0.8349418015632392,0.8157766031403689,0.8313297708272863,0.8348590388663902,0.8363122859263207,0.8501053342639203,0.8649185705578288,0.8350674785293689,0.8312212968672216,0.8369,0.8158,0.8649,0.0491
Perplexity,0.8028272443120563,0.7987565430013843,0.7774603959601308,0.7992932315238152,0.803464435554803,0.8020035323666682,0.824765798300743,0.8313114202675739,0.8028127906985221,0.8058644841750953,0.8049,0.7775,0.8313,0.0538
MMD,0.5723597031626732,0.5484643432060985,0.541523266850109,0.5659895200429335,0.5771670676238922,0.5723103780327597,0.576360083222211,0.5726858191678527,0.5475970740617856,0.587343441338654,0.5662,0.5415,0.5873,0.0458
FID,0.5630531037262914,0.5412873386189468,0.5715252657723284,0.54706477583445,0.5757350509049661,0.5390770352219183,0.5300744884837636,0.5549320185946309,0.5778528241085914,0.5436072604247351,0.5544,0.5301,0.5779,0.0478
