,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.32298809782634347,0.3283109354757982,0.34539323834299346,0.335016319957386,0.3230581107289478,0.34699636537309686,0.31408730586631356,0.3485093056806751,0.3443987803277379,0.3333084679559938,0.3342,0.3141,0.3485,0.0344
Manhattan,0.3254275239167074,0.34604960491536496,0.3565609694108386,0.3346663749765634,0.31013469720528225,0.3481017977942462,0.30848038324198634,0.3417162141023043,0.3403095981783749,0.3447176320675345,0.3356,0.3085,0.3566,0.0481
$l_p$: $p=r=0.5$,0.3038158016665365,0.3349710063261726,0.3116856021078887,0.3204780131151467,0.25742875313146146,0.31227551392503816,0.2850696915953489,0.2903487638113262,0.31021079237129195,0.3183938688439939,0.3045,0.2574,0.335,0.0776
$l_p$: $p=r=0.75$,0.316991572347934,0.3295044876781855,0.3389370363747298,0.33249170739343864,0.29391319560439255,0.326271353859543,0.29575577569237654,0.32349977565135934,0.3274583052213486,0.33470585564580063,0.322,0.2939,0.3389,0.045
Cosine,0.4848988046864386,0.4927745505611325,0.515762728601634,0.4984280544489368,0.4993739337773617,0.504098865509185,0.4966110139001392,0.502184915716246,0.5138180752954397,0.5297926163042097,0.5038,0.4849,0.5298,0.0449
Mahalanobis,0.49024615477952094,0.5217634049066198,0.5048868452404868,0.5056510618985225,0.4556577592775064,0.5111433733691357,0.511182930821512,0.5246274250593487,0.5023625900683346,0.492092693088442,0.502,0.4557,0.5246,0.0689
Wasserstein,0.3719906466836219,0.39776968227000115,0.3922479884498166,0.3765849696032216,0.39125867373134804,0.37626998541456663,0.36902314579243173,0.4132735800593671,0.3921786437828135,0.38686577152786605,0.3867,0.369,0.4133,0.0443
Entropy,0.7380141130431651,0.7525899502205291,0.7046949579834576,0.7347982436341357,0.7242844617557544,0.7473665876571014,0.7225860618686252,0.7446071490995175,0.7726987171628033,0.7415393234601747,0.7383,0.7047,0.7727,0.068
Perplexity,0.6211040269919459,0.6574726396060764,0.6146775268722053,0.6391444498003878,0.6252820327587755,0.6599629119767494,0.6302125798244012,0.6569021803074596,0.6735061035495566,0.6761914181877215,0.6454,0.6147,0.6762,0.0615
MMD,0.20699221635433707,0.21385485231106563,0.20852603264326275,0.2226819473401124,0.18312779076942415,0.2397129328180719,0.21168932958041697,0.22647815101330057,0.21944096143579903,0.20463253248699276,0.2137,0.1831,0.2397,0.0566
