,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,0.310518393448948,0.3250864812618887,0.3270845192869863,0.33366205845733443,0.3286153607083501,0.32467508297992625,0.3084460477598656,0.3243317182151441,0.3342415464704835,0.3288690328827666,0.3246,0.3084,0.3342,0.0258
Manhattan,0.32364868272054664,0.32682741410616206,0.35273165488795194,0.345521296562628,0.3244688458743782,0.35046629389979955,0.3100057734833578,0.34455264510658556,0.3610328272211069,0.3395725263219416,0.3379,0.31,0.361,0.051
$l_p$: $p=r=0.5$,0.3385806655990143,0.3436577034422132,0.3514191426290935,0.3679553432084137,0.31925485183329166,0.36639452549867985,0.33014366429012615,0.34182257191136894,0.3530828193789817,0.34725700056519043,0.346,0.3193,0.368,0.0487
$l_p$: $p=r=0.75$,0.34347500770485306,0.3397543852348813,0.35519017570362,0.3650324274734937,0.3318200998972486,0.3513468449835267,0.3165701318798558,0.3564761069956268,0.36606378273751283,0.33464415819288346,0.346,0.3166,0.3661,0.0495
Cosine,0.6105167979967696,0.6172860355062237,0.6161031889591639,0.6312367242211285,0.6353594402686341,0.629068128363706,0.6039345761029256,0.6244467954309054,0.6313412084590129,0.6600714998323293,0.6259,0.6039,0.6601,0.0562
Mahalanobis,0.41682434213408315,0.4233576973639601,0.43459863375456387,0.44619455394135216,0.40981024024049395,0.43342709394623097,0.42523289917661966,0.43296282463963814,0.40576495361035014,0.41705452417204647,0.4245,0.4058,0.4462,0.0404
Wasserstein,0.41711811434719526,0.409680951854836,0.4285461367776854,0.40238199201729513,0.4071892005320296,0.40116342581925235,0.3970835142387544,0.40599152403579547,0.41942087562943703,0.40870136456410044,0.4097,0.3971,0.4285,0.0314
Entropy,0.9336216536439217,0.9347624772419278,0.9249039580026192,0.9332274001011475,0.9354271061691241,0.9399937333484948,0.9231300998557198,0.939263425754759,0.9427844880286692,0.9351122900899023,0.9342,0.9231,0.9428,0.0197
Perplexity,0.8381162739757553,0.8445996962901918,0.8432694555087262,0.8511579088118701,0.8473162991953175,0.8642370980158178,0.8307881985056745,0.8584484719883272,0.85794614671571,0.8650814896764999,0.8501,0.8308,0.8651,0.0343
MMD,0.23632252599568232,0.21891815034767093,0.23172065938375913,0.23651293456738323,0.200396170087128,0.22616373849454952,0.24464719664482926,0.2571671462375506,0.2364271365044261,0.24963241306875822,0.2338,0.2004,0.2572,0.0568
