,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,0.39470247247492074,0.3780509033789397,0.3862488538511021,0.3934240078929312,0.2013919920934718,0.33216723701592676,0.3995993771313977,0.4421007724466638,0.28828532348865993,0.3691617771141271,0.3585,0.2014,0.4421,0.2407
Euclidean,0.746054541674729,0.6449051291169682,0.8185830203065957,0.7417027981574797,0.5835330934996544,0.7840615989616486,0.705674546514259,0.9951072130559291,0.633534207372252,0.765907015356104,0.7419,0.5835,0.9951,0.4116
$l_p$: $p=r=0.5$,0.31534733772634677,0.28460252138566283,0.3745774424064944,0.3533627235908501,0.06734758872304233,0.23183912507001408,0.3394904944195286,0.3781269837945521,0.2714371627885151,0.40424947212883927,0.302,0.0673,0.4042,0.3369
$l_p$: $p=r=0.75$,0.44861458080099564,0.2964501797003792,0.3147545037275059,0.44002083985863827,0.1387292893647421,0.35492797151591055,0.3672966123369715,0.3565562518457465,0.2888579177949215,0.3891787432620814,0.3395,0.1387,0.4486,0.3099
Cosine,0.4252391791899439,0.5618525721622271,0.4790567765262471,0.5632918709417568,0.46714215777301593,0.4073369982310986,0.3608332348188332,0.4157329882138301,0.47714289014764316,0.4552332245085259,0.4613,0.3608,0.5633,0.2025
Mahalanobis,0.4331435310244197,0.4941238781270913,0.4624312358975473,0.36131673101825956,0.17343356198055163,0.4761987238432723,0.5526823482856649,0.4708333023199093,0.43729251608876973,0.5735463496217436,0.4435,0.1734,0.5735,0.4001
Wasserstein,0.35735017662299357,0.23666135688758627,0.3647923049765334,0.3868152394420894,0.4007293665631443,0.3161568982763673,0.27126882854595485,0.41114506262165895,0.21131288596056957,0.34045868379260985,0.3297,0.2113,0.4111,0.1998
Entropy,0.4085109771972787,0.5126024625245663,0.45450608679726334,0.4584059006565709,0.4809926545662745,0.4380048902903565,0.5079229472006676,0.3593992270023044,0.32110802345784656,0.5086221377402772,0.445,0.3211,0.5126,0.1915
Perplexity,0.4719764823280486,0.48723671404869795,0.49400742105012574,0.5091549471402208,0.5736195655294544,0.431838257858758,0.4971158244451038,0.35090367243413123,0.3879982810062867,0.4524555181846661,0.4656,0.3509,0.5736,0.2227
MMD,0.31530658679593365,0.4950939623313608,0.32604988427422116,0.3357626885406012,0.2218922030330839,0.48255616775317806,0.5799912153768912,0.2888885442226654,0.3296155539047302,0.30984054154831003,0.3685,0.2219,0.58,0.3581
