,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,6.223928272912497,6.146859673125508,6.317803436357047,6.56785858163475,5.787633079652878,6.2353479555421085,5.960847243679401,6.470538392655504,5.777829469680865,6.208772948498195,5.7778,6.5679,0.7901,6.1697
Manhattan,0.35157985369556394,0.3905471039364362,0.3988339950088567,0.3822340685722098,0.039493990318725455,0.39669563285516424,0.40405916648044077,0.49835187197088776,0.3648567794867152,0.265348724061498,0.0395,0.4984,0.4589,0.3492
$l_p$: $p=r=0.5$,0.23819662989790552,0.30132911250809263,0.2593981241954751,0.2914795954983897,0.003605670352738141,0.3058063410802774,0.34401004965572785,0.3099512321164873,0.2849953393989681,0.27142801284780466,0.0036,0.344,0.3404,0.261
$l_p$: $p=r=0.75$,0.24183302417326258,0.3156936858200255,0.4310750770435694,0.37005139930556624,0.034433797793791604,0.4188313097781303,0.2930142633250556,0.4526913059923635,0.3649059900016712,0.32490972558675835,0.0344,0.4527,0.4183,0.3247
Cosine,7.997267381968251,8.02765100859886,7.959729019855002,7.998881439634675,8.327791923194829,8.00504359216215,8.01590754969356,8.004566928966218,8.093099170082217,8.043694564872863,7.9597,8.3278,0.3681,8.0474
Mahalanobis,7.700416466303057,7.68470055433791,7.6487614091174,7.730434593059988,4.625806685871794,7.624349634604802,7.735358632353442,7.758553646868577,7.6068729130106565,7.764062219062831,4.6258,7.7641,3.1383,7.3879
Wasserstein,6.652346538590778,6.123844561683101,6.167675680733931,6.964056969410757,6.461390751882518,6.588403079138022,6.364159452877583,6.605232914410395,6.336965985708254,6.929939134116403,6.1238,6.9641,0.8403,6.5194
Entropy,8.311077717977161,8.255660840870856,8.322381013183994,8.326231795720565,8.287058855442853,8.314649501319902,8.277338037944023,8.26878126768753,8.294773503669406,8.308846834075617,8.2557,8.3262,0.0705,8.2967
Perplexity,7.612001625228514,7.571952638935726,7.613257467910555,7.630256985561896,7.629761690755714,7.612745709604603,7.595910944702482,7.580875492720309,7.624566945199075,7.623711741402696,7.572,7.6303,0.0583,7.6095
MMD,1.6646614507472388,1.443788357881132,1.4996003924358734,1.6685022448751994,1.3306831265517411,1.6130764583482637,1.6343857209609793,2.019720443221065,1.4671019723367151,1.7365983305368444,1.3307,2.0197,0.689,1.6078
