,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,0.9236940077632377,0.6681596306551388,0.9652942312495232,0.8843009875974928,0.5792707943014055,0.8873685734166025,0.7058644783233422,0.5974346504117405,0.936735611113502,0.9556993088588711,0.5793,0.9653,0.386,0.8104
Manhattan,3.576297366660946,3.149784483331926,3.49518362683796,3.53182248922139,2.987655874004149,3.8120705398680172,3.462674134404662,3.1900020457098117,3.442915269903747,3.704239651107257,2.9877,3.8121,0.8244,3.4353
$l_p$: $p=r=0.5$,8.105306952805387,8.022930535712756,8.149471713368527,8.15909992527253,8.970309035266848,7.989622114891284,7.794916324539817,8.112792560123143,8.054941600907863,8.201359671287811,7.7949,8.9703,1.1754,8.1561
$l_p$: $p=r=0.75$,5.916691705427576,5.770754370437637,5.7751346868215085,5.502038795935126,6.034542656816656,5.90497151725404,5.65553060205951,5.654094637843402,6.243723175670863,5.842928903084442,5.502,6.2437,0.7417,5.83
Cosine,7.3542427080073365,6.9256232697973275,7.761383819345623,7.223890291988454,5.981298762080189,7.967382473518828,6.2954756371979235,6.130315079988101,6.176798567973284,7.341039800951584,5.9813,7.9674,1.9861,6.9157
Mahalanobis,7.76958526193176,7.590763607845541,7.47859585804331,7.4978065536094896,9.154990946621739,7.6757755417570115,7.462965054993999,8.490329714901394,7.606873876197763,8.22499187691385,7.463,9.155,1.692,7.8953
Wasserstein,8.991206502213712,8.915598209529211,8.936495674784265,9.028213361530556,9.087290717890175,8.925804465856576,8.902253374031002,8.895915822273116,8.8845705193126,8.955937519515548,8.8846,9.0873,0.2027,8.9523
Entropy,3.3746502201012327,3.5473888571983427,3.4010754948695054,3.400284267742224,3.2416677082759886,3.3007988037406344,3.3972822362175648,3.450630275914419,3.30062401661297,3.544880405681265,3.2417,3.5474,0.3057,3.3959
Perplexity,4.851360335274201,4.879208666151818,5.00185717374146,5.06093291151778,5.068651274261079,4.867780046475783,5.081909865515412,4.8414656859270275,5.043707748539662,5.001138981437097,4.8415,5.0819,0.2404,4.9698
MMD,0.11533189456659047,0.15932573480901402,0.12531362133082907,0.1409117773131377,0.0722546946483802,0.12790526286620016,0.08354367012316928,0.08861317602371702,0.1377132404345316,0.11765207320226354,0.0723,0.1593,0.087,0.1169
