,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,0.7923267330296816,0.6693781410968708,0.674963781430221,0.8640059204280149,0.5104440355527985,0.6896915089501899,0.7863512675971562,0.852828238628974,0.7132955857327778,0.659876683730502,0.5104,0.864,0.3536,0.7213
Manhattan,0.921068340644695,1.4743533666557267,1.2779940792606852,1.1797556623592425,0.6018549814034975,1.3130133553202552,1.009557268308979,1.11302986880282,1.1514799035491954,1.2057320974948866,0.6019,1.4744,0.8725,1.1248
$l_p$: $p=r=0.5$,0.4212338456235632,0.4710563504063707,0.5466258039481219,0.4849661622164538,0.003605670352738141,0.49303037175380476,0.30272005663310425,0.48488417383944654,0.4790883528409442,0.389999408459274,0.0036,0.5466,0.543,0.4077
$l_p$: $p=r=0.75$,0.7900090467327874,0.8104877786253699,1.1011308197066971,0.8980017232626976,0.3149826831160147,0.8666800585999146,0.8014989857207097,1.0097309203349365,0.8448173935601936,0.8574466313727225,0.315,1.1011,0.7861,0.8295
Cosine,4.95522089244445,4.882756316427772,4.916894811460903,5.0542969499329455,5.177938070744709,4.7746365229237435,5.28380663181161,4.957412664965281,4.927406136800874,4.885294028776917,4.7746,5.2838,0.5092,4.9816
Mahalanobis,7.660207389805453,7.62720843557749,7.624377761798232,7.5676697912658595,4.694041160699745,7.606419715879895,7.672344068970716,7.720946491556013,7.575762204882068,7.685896895364154,4.694,7.7209,3.0269,7.3435
Wasserstein,3.6928899021569284,4.288661537541447,4.256360369284696,4.269727005136399,4.003123159913159,4.240326202500183,4.073754362053622,3.8937703658672005,4.114698520717539,4.12099969727947,3.6929,4.2887,0.5958,4.0954
Entropy,6.3331580431646834,6.271729673581512,6.45300009473463,6.555976255063625,6.3855969128276495,6.494291675280152,6.25749099279119,6.512427022476551,6.231315102452717,6.647960215967968,6.2313,6.648,0.4167,6.4143
Perplexity,5.864380277826104,5.765880148392711,5.899153826735255,5.947969376760423,5.975220874802531,5.896464712101082,5.806239790239526,5.94351409836193,5.84920781473163,6.082216558774657,5.7659,6.0822,0.3163,5.903
MMD,1.9261774210550464,1.2584783131359631,1.2988910206171005,1.5205414437219753,1.3688964819677278,1.4955813662260833,1.553696766701465,1.4213672216510909,1.478342521920976,1.6502444177009055,1.2585,1.9262,0.6677,1.4972
