,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,1.4840767178663825,1.4774326924936743,1.6638622694469882,1.4267995818121866,1.6273541453974232,1.8516399013401137,1.53136206372118,1.6797615911895472,1.6538092209999014,1.687308326233462,1.4268,1.8516,0.4248,1.6083
Manhattan,4.597766118384946,4.655417006410235,4.540366761596475,4.382018800284708,4.4306857219316536,4.798636557210895,4.278209516029105,4.7020457400917515,4.8455034029871875,4.6290422867401615,4.2782,4.8455,0.5673,4.586
$l_p$: $p=r=0.5$,8.30465800809266,8.18952353963281,8.266780848266052,8.237087208878789,9.010256403340868,8.117790578802394,8.07120297101575,8.329942306703597,8.243399901910015,8.339515364911275,8.0712,9.0103,0.9391,8.311
$l_p$: $p=r=0.75$,6.675026636518396,6.4392615650870315,6.859800027231175,6.9442469886461815,6.294808825237038,6.6801561717365985,6.359158051970245,6.4584088092288034,6.680359697349214,6.980339480654276,6.2948,6.9803,0.6855,6.6372
Cosine,7.0352016028546,7.350105244100508,7.457855307203616,7.4734184413688105,6.42054432839383,7.9083803125513,6.166804639420597,6.406688774306332,5.948061369663913,7.734040156524907,5.9481,7.9084,1.9603,6.9901
Mahalanobis,7.752457674623741,7.5789974711840555,7.465465923002797,7.469331169626009,9.106606194533814,7.641169616435647,7.442578095724468,8.436317629645705,7.594288252245061,8.223567149156487,7.4426,9.1066,1.664,7.8711
Wasserstein,9.027552557778781,8.955710157819572,8.965930764809277,9.069886867817955,9.087157443176183,8.974065851679391,8.963954821345197,8.926901457830294,8.938763750328636,9.041369877992812,8.9269,9.0872,0.1603,8.9951
Entropy,3.4335850304786937,3.4432763377671107,3.3853495494313313,3.107983832995559,3.2955306858091,3.1348720077938377,3.6867682098777137,3.399138426097717,3.8018571501146776,3.3355042882183032,3.108,3.8019,0.6939,3.4024
Perplexity,2.339429482819434,2.619101297478262,2.7109494549658937,2.417489525231958,2.301360069659739,2.440604328020968,2.618194914344366,2.6093154695615492,2.651449123684952,2.693909458959217,2.3014,2.7109,0.4095,2.5402
MMD,0.1417582101837493,0.16277689583231603,0.16363415627290717,0.16499739536253305,0.056108675173621406,0.1426009669115186,0.15178645715912725,0.12747069987365237,0.14688271338490316,0.1508989546752953,0.0561,0.165,0.1089,0.1409
