,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8325546111576978,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8326,0.8326,0.8326,0.0
Euclidean,0.5398747957806617,0.5474022410681845,0.545526996843256,0.5469225475270602,0.5444619231116603,0.5624417706648124,0.5318056086977299,0.5302432214982256,0.5382760488227082,0.5655418459967337,0.5452,0.5302,0.5655,0.0353
$l_p$: $p=r=0.5$,0.8325546111576978,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576978,0.8325546111576977,0.8325546111576978,0.8325546111576978,0.8326,0.8326,0.8326,0.0
$l_p$: $p=r=0.75$,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8325546111576978,0.8325546111576978,0.8325546111576978,0.8325546111576977,0.8326,0.8326,0.8326,0.0
Cosine,0.6263628209978072,0.6197060326824771,0.6157832299914018,0.6286094309051533,0.6380032690575306,0.6256540036678966,0.6254441070147108,0.6242042508283306,0.6336988851015931,0.6277539847867853,0.6265,0.6158,0.638,0.0222
Mahalanobis,0.5594171677410954,0.5650148599455845,0.5639853806737504,0.5695738310982279,0.5437299573986324,0.5831086437415189,0.5553553241006349,0.5493392546262552,0.5553390494680208,0.5768100815860474,0.5622,0.5437,0.5831,0.0394
Wasserstein,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8326,0.8326,0.8326,0.0
Entropy,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8326,0.8326,0.8326,0.0
Perplexity,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8326,0.8326,0.8326,0.0
MMD,0.5440252231034474,0.5395366450445919,0.5793745912791962,0.545916470597565,0.5576779074842598,0.5576096550397507,0.5521052734682288,0.5427078180802403,0.5553613877377322,0.575261638345626,0.555,0.5395,0.5794,0.0399
FID,0.7053919066573017,0.7071079194785715,0.7131431962803576,0.6984060818002505,0.7160991221380522,0.7126909643774547,0.7156759558428178,0.6967977212730154,0.7118028857785469,0.7275621988130814,0.7105,0.6968,0.7276,0.0308
