,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Euclidean,3.7964298172629465,4.132911638973527,4.047100639007882,3.8649283457675825,4.016957170498061,3.6657594416799935,3.7925465342421543,3.8496645632196205,3.702563602698291,4.176579372650688,3.9045,3.6658,4.1766,0.5108
Manhattan,6.261695323168675,6.421577909855735,6.492342171560649,6.529894185574215,6.7550497930758615,6.09021898562762,6.243471911873822,6.198098945438274,6.60528799980772,6.6010106628998715,6.4199,6.0902,6.755,0.6648
$l_p$: $p=r=0.5$,8.474373316640895,8.42013869574025,8.415390489032724,8.425260525103935,9.274139047944498,8.159855099842838,8.275003042510196,8.418431884943839,8.363843675677485,8.489601593258977,8.4716,8.1599,9.2741,1.1142
$l_p$: $p=r=0.75$,7.4406153915078015,7.5570038648128675,7.601467072717425,7.602391604007591,7.846948480788297,7.3553775851244545,7.212905942948115,7.492899935992137,7.461890872428281,7.4506931386604185,7.5022,7.2129,7.8469,0.634
Cosine,6.663664144832673,7.051451795877988,7.548546731472332,7.349879958522774,5.336327289110474,7.872821920047,6.307565930326047,6.080755424806546,5.499971106730722,7.5111738793236835,6.7222,5.3363,7.8728,2.5365
Mahalanobis,7.789267812227352,7.600583528492416,7.461222002920949,7.502426876683588,9.136975663769777,7.682658810984443,7.447466080750054,8.454807519840307,7.582612223611435,8.198024141541012,7.8856,7.4475,9.137,1.6895
Wasserstein,8.794866934883562,8.675412230799829,8.695919933278512,8.808850611549111,8.845162608106403,8.697153034615743,8.675624513386083,8.650721542692764,8.659771730043104,8.748938213988161,8.7252,8.6507,8.8452,0.1945
Entropy,2.0960463411357426,1.9858238590671724,2.226928458383692,2.098094738872178,2.1462096026022017,2.1595021777442103,2.1571986997907797,2.2433793377091247,2.4456101413017604,2.2949382731218253,2.1854,1.9858,2.4456,0.4598
Perplexity,1.5357041173240515,1.7457207616553683,1.8314401223702192,1.636266773321019,1.7836402974468524,1.5520787056416467,1.9122606087403702,1.7948425853344043,1.842545847452778,1.9264605722461623,1.7561,1.5357,1.9265,0.3908
MMD,0.1510194051578822,0.14013052438748502,0.13501109790339932,0.1581625131864568,0.07452907037122511,0.19537574963909582,0.1368693939125662,0.09324900921661368,0.15710601903032706,0.1515022772790991,0.1393,0.0745,0.1954,0.1209
