,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,3.4166928342176637,3.3679984431186907,3.462455971571291,3.5001789526567273,3.826794633269064,3.7413484156080763,3.248509224717835,3.330987387005095,3.411712881562771,3.7909074355321275,3.2485,3.8268,0.5783,3.5098
Manhattan,7.723585045495222,7.9385615995145224,7.793560285357841,7.804106838894287,8.446332036406188,7.705334511285825,7.897761046902801,7.729967260023805,7.7447251116289895,7.754094661211993,7.7053,8.4463,0.741,7.8538
$l_p$: $p=r=0.5$,7.826753320245237,7.989134255214494,7.859338353999198,7.891011686989924,8.68050311683844,7.856781509581553,7.950483482819335,7.783120232198651,7.801800349688786,7.828117719778866,7.7831,8.6805,0.8974,7.9467
$l_p$: $p=r=0.75$,7.783765365938055,7.964683808295315,7.820609000507183,7.842837241915386,8.495071775503668,7.779299818054165,7.917229181813947,7.751819499117162,7.7755055473284935,7.7871217197888996,7.7518,8.4951,0.7433,7.8918
Cosine,4.543997209903256,4.375109929161345,4.410273646070574,4.448060837542306,4.626904377740097,4.475626518750105,4.492832118377192,4.529314347055341,4.594391367261869,4.343461793764896,4.3435,4.6269,0.2834,4.484
Mahalanobis,3.682191208586213,3.7738941572274705,3.8635387899496614,3.9298066205689235,3.9818860382928576,4.007621284673337,3.392089774640839,3.56783418946512,3.6070545091450303,4.107241153705713,3.3921,4.1072,0.7151,3.7913
Wasserstein,7.9733434389986675,8.065220498166495,8.050895565106243,8.06535778520221,9.782730971761422,8.025137023326135,8.012506754849374,8.025560415995056,7.947488319236576,8.028302573250288,7.9475,9.7827,1.8352,8.1977
Entropy,8.226859608825698,8.32755082170601,8.285849843066577,8.315339471032011,8.397337587492919,8.261380995951548,8.27058908071974,8.300963258621083,8.273879249207798,8.28605640608191,8.2269,8.3973,0.1704,8.2946
Perplexity,7.958558150592222,8.07494570161096,8.015758262113675,8.052941161923965,8.234644038446461,8.034115359863025,7.963571225538372,8.035822057395977,7.973431607863938,8.044571381268538,7.9586,8.2346,0.276,8.0388
MMD,2.507921647463935,2.4793885937403894,2.8977400176745944,2.612749620641959,2.6226751904658308,2.585645883643172,2.596973180659728,2.3746829808077794,2.7235098322256386,2.7322004647937055,2.3747,2.8977,0.523,2.6133
FID,5.475715042960437,5.664135227046419,5.729628117386914,5.5537644450569585,5.95468463080965,5.616667807683454,5.65948198415864,5.32548280137869,5.565285151319314,5.919763731205545,5.3255,5.9547,0.6292,5.6465
