,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,7.731735633176524,7.945033594554303,7.7988056477484164,7.815171639644905,8.449610111198677,7.713856631511893,7.900627916699305,7.733956804385752,7.753173890356364,7.764277792554255,7.8606,7.7139,8.4496,0.7357
Euclidean,3.207668053188163,3.2608748660054165,3.2090140292605596,3.3950289085764207,3.4860169721355176,3.3936200253795916,3.336738028162872,3.5297754633762497,3.4723506611667068,3.7519129442557735,3.4043,3.2077,3.7519,0.5442
$l_p$: $p=r=0.5$,7.832982585421077,7.988101979415372,7.877648654465416,7.903488832797053,8.674479722959328,7.866483058875471,7.96401862789458,7.784517509577683,7.815584921337945,7.8492729432384305,7.9557,7.7845,8.6745,0.89
$l_p$: $p=r=0.75$,7.784155170649398,7.9645958302842566,7.83291923302505,7.857969249150594,8.493249994281749,7.787779428374667,7.9276741380535976,7.7516377773468825,7.774362094585092,7.801574255449798,7.8976,7.7516,8.4932,0.7416
Cosine,4.134924444346975,4.373501844366788,4.184936626351792,4.284985396860152,4.5464466702068425,4.390279846251762,4.211087878678855,4.220394583244408,4.288122349886276,4.284775001263585,4.2919,4.1349,4.5464,0.4115
Mahalanobis,3.5746168484919254,3.4491744976174745,3.6410912235066317,3.779106300537397,3.711699650585109,3.7090185051621583,3.6974704660764237,3.521274763400297,3.6811879730416157,3.865002712749458,3.663,3.4492,3.865,0.4158
Wasserstein,8.036010360842106,8.129805945849055,8.086473122411714,8.068525944896638,9.782717941387585,8.125694416208535,8.10431415502112,8.090564226213145,8.00867971577671,8.075562465601092,8.2508,8.0087,9.7827,1.774
Entropy,8.314523620166302,8.32608711918947,8.346402185977206,8.317257678108883,8.470789776008989,8.393112240494704,8.362723375413077,8.321640492876032,8.307135080358304,8.34415085893725,8.3504,8.3071,8.4708,0.1637
Perplexity,7.996668771803176,8.037942170178429,8.040000789160693,8.044937626457928,8.282592436565166,8.137728741448425,8.057674802368654,8.008329372770367,7.984074341343009,8.082182201973593,8.0672,7.9841,8.2826,0.2985
MMD,2.7229334407463237,2.6520052154978973,3.0433101360168684,2.841407313748646,2.46377979990819,2.717859527609038,2.4690733793621003,2.6276649259503757,2.91099261015417,2.9499465786256533,2.7399,2.4638,3.0433,0.5795
FID,6.527682361130372,6.101743973610324,6.355540540255225,6.175772908371652,6.445417479875119,6.466452945551988,6.333853250942275,6.096794556958311,6.380667254350108,6.599807136714157,6.3484,6.0968,6.5998,0.503
