,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,2.37670525434246,2.729691265855312,2.5807614846326965,2.762769143560296,2.341882689917304,2.928713463146596,2.4658954498037793,2.8128309203278894,2.9337416854108382,2.7635895817405807,2.3419,2.9337,0.5918,2.6697
Manhattan,5.6499989322912185,5.837695477311225,5.7211376809298224,5.801433843672981,5.624131362461603,5.849514953283088,5.285845294773335,5.495914146748551,6.017267452436585,5.62579350752411,5.2858,6.0173,0.7315,5.6909
$l_p$: $p=r=0.5$,8.421927290419891,8.29623609315471,8.365997544286715,8.384267447554668,9.215310550055186,8.019673414307256,8.160153448499953,8.323093390636211,8.262598614987551,8.367849225605518,8.0197,9.2153,1.1956,8.3817
$l_p$: $p=r=0.75$,6.967183279391373,6.962408709023597,7.069433869424253,7.376698025370521,7.080969010471791,6.8335630769315046,6.808859930830158,7.096086989717952,7.1927211493006045,7.1613758553701095,6.8089,7.3767,0.5678,7.0549
Cosine,6.758645914319178,6.955890268597464,7.671395259062957,7.425377705605823,5.70308447720669,7.828455129032595,5.963589919860855,6.214198159273236,5.3704022261883075,7.5102228087444685,5.3704,7.8285,2.4581,6.7401
Mahalanobis,7.809470838968582,7.616792463870257,7.476718080432446,7.514795945023306,9.212818724511953,7.711209702335362,7.473454188379241,8.486150081661524,7.618176569877084,8.210213020130748,7.4735,9.2128,1.7393,7.913
Wasserstein,8.753357196736891,8.643476457095264,8.66889024106642,8.777259627052194,8.845098140645042,8.655150211782223,8.625683834609656,8.613576406578765,8.610221052842757,8.686477828068613,8.6102,8.8451,0.2349,8.6879
Entropy,2.4252179990963034,2.4456757549090042,2.6503676072068805,2.5325653283537224,2.56574638245713,2.394667203974851,2.6356296815559177,2.528254143414197,2.7360687399016923,2.6835428755282043,2.3947,2.7361,0.3414,2.5598
Perplexity,3.10794034038643,3.149443828325061,3.324787973853403,3.273239044129551,3.102610604036303,2.8795136744685306,3.352564364702724,3.0755456214566603,3.3334573074889575,3.453706406563358,2.8795,3.4537,0.5742,3.2053
MMD,0.1094593479663059,0.1346825510870645,0.10982684391501732,0.10760429567838657,0.05756020883831335,0.15371105999275342,0.10943508664051044,0.09008998356437664,0.12107713070007482,0.11720679120626168,0.0576,0.1537,0.0961,0.1111
