,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8326,0.8326,0.8326,0.0
Euclidean,0.5312824392246251,0.5223033933094676,0.5269622364532146,0.5399827335713225,0.5355056112116492,0.5564262327893253,0.5263130206077559,0.5384154450544492,0.5314287376043277,0.558196653003702,0.5367,0.5223,0.5582,0.0359
$l_p$: $p=r=0.5$,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8326,0.8326,0.8326,0.0
$l_p$: $p=r=0.75$,0.8325546111576978,0.8325546111576978,0.8325546111576977,0.8325546111576978,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8326,0.8326,0.8326,0.0
Cosine,0.6102693119957073,0.6105527581925926,0.6006292953097916,0.6207619400323537,0.6208675203774981,0.6200929439589842,0.6041294810923198,0.6155142571723891,0.6139887872732455,0.6045765104355455,0.6121,0.6006,0.6209,0.0203
Mahalanobis,0.5508329860307285,0.541045669497264,0.5501520832559245,0.5653801583596152,0.5447419293770758,0.5814236967315252,0.5518450491624812,0.5561490454212555,0.5514296010309894,0.5734137009357658,0.5566,0.541,0.5814,0.0404
Wasserstein,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8326,0.8326,0.8326,0.0
Entropy,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8326,0.8326,0.8326,0.0
Perplexity,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576978,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.8326,0.8326,0.8326,0.0
MMD,0.5617288528107475,0.5539282157415337,0.5866461881744099,0.5668102836923226,0.5661730367146023,0.5731588075017922,0.5634633813336426,0.5560222787745233,0.5727903986216412,0.5879613382435447,0.5689,0.5539,0.588,0.0341
FID,0.7422506665244216,0.7400948377425455,0.7506923242321761,0.7396630655725582,0.7515526755633871,0.7504013313486816,0.7508645372634041,0.7392732422537374,0.7461023108196388,0.7619134929878996,0.7473,0.7393,0.7619,0.0226
