,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,0.6162798784279413,0.4341007622979552,0.6297952298826611,0.6397556626334677,0.43015984810462354,0.6173355116149353,0.5040234524328697,0.4270236485462646,0.40919004279550925,0.4461828443241498,0.4092,0.6398,0.2306,0.5154
Manhattan,2.6303037570540897,2.98115131015674,2.7841032549763702,3.3911274710839137,2.4384009945785183,3.437692015452819,2.8123262632980333,2.760699821565701,2.9914700523578377,2.980587079357278,2.4384,3.4377,0.9993,2.9208
$l_p$: $p=r=0.5$,8.034040422408774,7.955861382225766,8.118402040065023,7.988755164732917,8.847619074915533,7.966559279169038,7.79528362174399,7.949621520516451,7.9317993129953,8.039188058160622,7.7953,8.8476,1.0523,8.0627
$l_p$: $p=r=0.75$,4.946477457971152,5.14805316911837,5.315490012988093,5.368947432330513,5.567988886491195,5.500768145230764,4.983423551666645,5.3294915354299395,5.630222556864935,5.746407084394196,4.9465,5.7464,0.7999,5.3537
Cosine,7.39778509781916,6.966070702812145,7.757704246398354,7.227509752158252,6.088370666378898,8.114970358973707,6.572453274576005,5.724014537511815,5.960458668150906,7.435005253398069,5.724,8.115,2.391,6.9244
Mahalanobis,7.7936356113059535,7.603491690356714,7.475489426545295,7.495450326932851,9.173395074595048,7.673079002522428,7.456260518177323,8.488169132039408,7.613104873638017,8.238820902989813,7.4563,9.1734,1.7171,7.9011
Wasserstein,8.93378631722346,8.86239896948295,8.887427569796357,8.977278385423338,9.045898169006598,8.890250577257856,8.873775940462647,8.842438569829769,8.860025869654462,8.929857957992981,8.8424,9.0459,0.2035,8.9103
Entropy,4.046406910938473,3.9658534529701663,4.169197014164888,3.757022541656876,3.7160332146854884,3.9771184853202906,4.079000030343386,3.713954706467227,3.8020583227925626,4.173529173238045,3.714,4.1735,0.4595,3.94
Perplexity,5.220216593117928,5.021498363883735,5.3887170287216195,5.4230900724192095,5.458248069617607,5.300316388383802,5.528453426060217,5.200595030729111,5.388706762498463,5.532520720337759,5.0215,5.5325,0.511,5.3462
MMD,0.13959537525303606,0.1545793567020773,0.10511218152887201,0.16100189888104804,0.06860911191696924,0.13129303957337782,0.11310043752355774,0.09668681150579397,0.14722057163741537,0.16034724386507676,0.0686,0.161,0.0924,0.1278
