,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,1.40349210768898,1.393319258695358,1.3023532894988605,1.3865833806920937,1.3268460402459001,1.480242958467593,1.53838536880626,1.4938299313719963,1.3959354332978913,1.5546800923702104,1.3024,1.5547,0.2523,1.4276
Manhattan,4.214840255279286,4.49675198895755,4.3659474319159735,4.337720927712592,3.9446821318446417,4.77297343257186,4.236309851207983,4.431593324088757,4.5364097427500285,4.580915026884629,3.9447,4.773,0.8283,4.3918
$l_p$: $p=r=0.5$,8.201587097596448,8.162934106202366,8.26220803116811,8.239356106015732,8.8968220997159,8.146300581130282,7.945149038391857,8.228045805598894,8.26646846780105,8.288812417424428,7.9451,8.8968,0.9517,8.2638
$l_p$: $p=r=0.75$,6.232869222908016,6.309925006329023,6.8404710051380775,6.576116085773246,7.143899983283317,6.281583221253696,6.197027339673334,6.65952892336106,6.462641931955841,6.532118491319343,6.197,7.1439,0.9469,6.5236
Cosine,7.131840900426153,7.352049276628275,7.586591823269868,7.413866475679807,6.365727077560304,7.831908849385911,6.208646672341499,5.894987659715271,6.019382515110647,7.640161526328585,5.895,7.8319,1.9369,6.9445
Mahalanobis,7.767507563366082,7.569390914109956,7.451647764445226,7.461566218580298,9.079852967380202,7.619333713745979,7.4409081596673445,8.428154264449402,7.568931568855278,8.222636662719797,7.4409,9.0799,1.639,7.861
Wasserstein,8.990035669110963,8.918176248387978,8.936679958687247,9.027965135380208,9.045811135834368,8.950516744710063,8.940244758410655,8.900397692380356,8.917230903380583,9.015133348518846,8.9004,9.0458,0.1454,8.9642
Entropy,3.0863883704402553,3.16830686761104,3.8151621013373216,2.7537053865720775,2.751600229547013,2.8402036411099294,3.253554605969899,3.636696781555715,3.408284839624323,3.41722078849995,2.7516,3.8152,1.0636,3.2131
Perplexity,2.208676223227275,2.3756720278056465,2.381317202323694,2.3951951923906902,2.089147128110002,2.325545535226983,2.4561649864024635,2.35809413736954,2.5393736417655495,2.4640397164408516,2.0891,2.5394,0.4503,2.3593
MMD,0.14092607209829128,0.15639696481438195,0.13140821582727819,0.1250003503656439,0.0650661226653074,0.1217426264818985,0.11652227783865594,0.11343996761507254,0.14621416362899564,0.23942641585942326,0.0651,0.2394,0.1743,0.1356
