,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,0.4779523177753164,0.4964417848207505,0.42381652318681096,0.446974810498896,0.4306663901638124,0.48944371309090884,0.5525243601087404,0.4232879533596902,0.4114111693360306,0.42117828965739923,0.4574,0.4114,0.5525,0.1411
Euclidean,0.4079324121194875,0.4055346664206343,0.3843203812783734,0.42366713673425394,0.3785069684749599,0.46622089445710013,0.42224718244294174,0.32331426944392444,0.41403979910779176,0.357111128993836,0.3983,0.3233,0.4662,0.1429
$l_p$: $p=r=0.5$,1.0321310096095295,1.0850116058541999,0.9765073176246776,0.9638463051908666,0.75316724559775,1.1905878576828115,1.0228886137044482,0.8843490776163015,0.9991009886202874,0.9752109138412781,0.9883,0.7532,1.1906,0.4374
$l_p$: $p=r=0.75$,0.552972037563403,0.4187389421841966,0.5697447920059069,0.5578358996237655,0.3650766812663249,0.6453014056474623,0.45073582473375967,0.4992451423188373,0.5404661496363946,0.5859402570350114,0.5186,0.3651,0.6453,0.2802
Cosine,0.443836231091357,0.48455653660329967,0.495948847566807,0.5012404297102574,0.39205247784883834,0.47871617419865337,0.4887891699546755,0.5041051379470163,0.5311679269592093,0.4523912415970251,0.4773,0.3921,0.5312,0.1391
Mahalanobis,1.6969490326498113,1.702141311738188,1.4699823459674126,1.8617625514227245,0.7469103132283281,1.7325297742725887,1.595736629626705,1.7329475018236533,1.7830550393537123,1.6756230046115184,1.5998,0.7469,1.8618,1.1149
Wasserstein,0.45364702129224865,0.5406034157737645,0.548224400208001,0.6551931665222723,0.713189086668557,0.5286605100843721,0.5776415749857637,0.6338422904845195,0.5132988332364256,0.6558483664206555,0.582,0.4536,0.7132,0.2596
Entropy,0.8513798830979477,0.7471634756101505,1.0946306285874838,0.8954684411901593,0.9109058453997206,0.7518082362830121,0.7905663451567236,0.954297354167783,0.95506871637817,0.7345147606422424,0.8686,0.7345,1.0946,0.3601
Perplexity,0.5840952462781871,0.5251708743826426,0.5333441200519174,0.531452793579757,0.5113138747348047,0.68988357367643,0.552089564094828,0.4940912705299889,0.6688304899537149,0.6467776139307475,0.5737,0.4941,0.6899,0.1958
MMD,0.23216828488209632,0.23341136870147866,0.23562648902222785,0.2669915058133268,0.14091957861441692,0.2079649201404221,0.23329565041854697,0.32842534049455113,0.23955297271428316,0.19006353181039282,0.2308,0.1409,0.3284,0.1875
