,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Min,Max,Range,Mean
Euclidean,0.318187878938242,0.3739844899194163,0.42807897403738593,0.33292019746532703,0.2653870394529999,0.35709021610604563,0.31607843679060865,0.3282739005497838,0.3643539942560987,0.3634085010567891,0.2654,0.4281,0.1627,0.3448
Manhattan,0.31223109364013846,0.2943874045267654,0.3528584429892746,0.30407456625669804,0.3005096666964718,0.32807727550359733,0.30885202339734685,0.3335134564536122,0.32066576026243226,0.3346977228271014,0.2944,0.3529,0.0585,0.319
$l_p$: $p=r=0.5$,0.35378188630991747,0.4314648830112564,0.36815633258818126,0.38689442643769095,0.19118380156588183,0.3763843885881904,0.3066067451605285,0.2785859108394603,0.37511626514067575,0.37542168594585296,0.1912,0.4315,0.2403,0.3444
$l_p$: $p=r=0.75$,0.38237864184493947,0.39434654869451524,0.3853694310750348,0.3555530544157357,0.24882505886451298,0.3481562530087132,0.27494822128694196,0.33574017969502823,0.33153425539261977,0.35491129948805755,0.2488,0.3943,0.1455,0.3412
Cosine,1.1224721932683484,1.0756278725669386,1.106635168924236,1.1148688283740573,1.1561280022185014,1.030259963678087,1.0958525513929838,1.0622490644442752,1.1945539019108975,1.1133779978817238,1.0303,1.1946,0.1643,1.1072
Mahalanobis,1.0375381054575643,1.1393792063293526,1.0916427474286292,1.1591814346693976,0.775180427771848,1.2745507037031343,1.102731695981227,1.2258820605407088,1.110394802554942,1.0772225602037977,0.7752,1.2746,0.4994,1.0994
Wasserstein,0.5929734862456951,0.6423105814421756,0.6759787501991986,0.602480705235334,0.6791610840757043,0.6065319085365436,0.5585796705733644,0.7934447124829089,0.7317122358282251,0.6740308886515303,0.5586,0.7934,0.2348,0.6557
Entropy,3.0143359351234866,3.309749084197626,3.2108008396404353,3.48290006813806,3.112825173871727,3.429536067541987,3.1317120585030453,3.107444467221712,3.688210299731299,3.2325403635859393,3.0143,3.6882,0.6739,3.272
Perplexity,2.2829387969653623,2.860956738933655,2.406310350613547,2.772615613525507,2.6451129052436793,2.7390565882845306,2.686392114990638,2.6480555128787024,2.9452727035770616,3.1616640734430304,2.2829,3.1617,0.8788,2.7148
MMD,0.22056956448355192,0.23505856853018905,0.19896774093140263,0.23439512472652116,0.19691996134031378,0.28621163767107705,0.19269071605573196,0.29253703188538405,0.23730472074134606,0.22874043646267433,0.1927,0.2925,0.0998,0.2323
