,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,0.29642406318990183,0.27662304773425134,0.3397344775420607,0.31404395693099846,0.26910124603454105,0.3322336105345665,0.31434404245384295,0.31644580558566143,0.3491639863294151,0.33104685156641733,0.3139,0.2691,0.3492,0.0801
Euclidean,0.25988583543638777,0.27720240828272136,0.28728097399473396,0.294728378549312,0.2794539007593048,0.27520779967153874,0.2696916313585508,0.2806994061800701,0.28524224351712685,0.32762722797870364,0.2837,0.2599,0.3276,0.0677
$l_p$: $p=r=0.5$,0.3395302202259753,0.3531790502508918,0.3608333320534963,0.3696044150073983,0.29202749328295474,0.405242877511578,0.3098957562019471,0.3181310709851233,0.33829883996465376,0.3408798569570781,0.3428,0.292,0.4052,0.1132
$l_p$: $p=r=0.75$,0.33185988085682383,0.31036379731544134,0.3670056208146114,0.36518489150651523,0.29077139734349394,0.34218489007124653,0.28941287512898817,0.34300616686707036,0.3639939772601242,0.3149700324900686,0.3319,0.2894,0.367,0.0776
Cosine,2.026706801303973,2.149493617252511,1.988480531819234,2.308853541162328,2.4789463171845516,2.2700801698957607,2.6280128946164854,2.0707588709387026,2.3344249059765105,2.494552837685465,2.275,1.9885,2.628,0.6395
Mahalanobis,0.6892301970198819,0.7464987061559237,0.7410363951925379,0.921871033514349,0.5520377337518413,0.935603160393584,0.7265535189940229,0.788365838118135,0.6621561401642668,0.7041773668425154,0.7468,0.552,0.9356,0.3836
Wasserstein,0.7154471176775494,0.6609569533444769,0.7856795621529746,0.639752477221968,0.6520115802010781,0.6348354206332224,0.6184729255748415,0.6998179642633412,0.7699256630595462,0.6671037250138755,0.6844,0.6185,0.7857,0.1672
Entropy,7.029272573825683,7.447619375607377,7.02911600877266,7.4669576174603876,7.39571279641126,7.523194413275894,7.08479279862454,7.295060502158945,7.752235905835841,7.514762207134062,7.3539,7.0291,7.7522,0.7231
Perplexity,5.429437665791946,5.598931999326838,5.634515415374434,5.787518461705484,5.7537572852867225,5.91390390291025,5.319913811620078,5.7913115812951945,5.940775840172953,5.9645213151915595,5.7135,5.3199,5.9645,0.6446
MMD,0.32016160537024585,0.24557897410393048,0.25243520255461055,0.2652310469902543,0.20046571833456658,0.32851955684405754,0.3106614041567055,0.41261279551580476,0.28331930960765034,0.32509991400714927,0.2944,0.2005,0.4126,0.2121
